source,title,organization,application_start,application_end,progress_start,progress_end,apply,link,instructor,phone,tuition,teaching_method,capacity,place,situation,support
부산평생교육정보망,함께 실천해요! 환경테라피 지구품愛,북구평생학습관,2024-08-16,2024-10-08,2024-10-15,2024-11-05,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2438,,,유료,Offline (오프라인),12,만덕도서관 회의실,접수중,수강료 미지원
부산평생교육정보망,2024년 영도에서 떠나는 유럽예술여행(4기),영도구평생학습관,2024-08-14,2024-09-30,2024-10-12,2024-11-02,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2861,김성민,051-419-5562,유료,Offline (오프라인),30,영도국민체육센터 2층 동백홀,접수중,수강료 미지원
부산평생교육정보망,기타교실(클래식&포크),영도구평생학습관,2024-09-19,2024-09-30,2024-10-11,2024-12-13,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2907,고충진,--,유료,Offline (오프라인),20,영도국민체육센터 다목적홀,접수중,수강료 미지원
부산평생교육정보망,움직임 명상(스스로 치유하는 몸),영도구평생학습관,2024-09-19,2024-09-30,2024-10-10,2024-12-19,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2906,손미란,--,유료,Offline (오프라인),15,영도문화예술회관 제4연습실,접수중,수강료 미지원
부산평생교육정보망,[우리동네 인문학 교실] 쉽고 재미있는 클래식 에세이,북구평생학습관,2024-08-05,2024-09-30,2024-10-10,2024-11-28,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2418,,,무료,Offline (오프라인),15,동원종합사회복지관,접수중,수강료 미지원
부산평생교육정보망,통합실버케어전문가 자격과정(10/8 개강),사하구평생학습관,2024-08-22,2024-09-24,2024-10-08,2024-12-24,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5670,양영주,051-220-5546~8,무료,Offline (오프라인),30,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,퀼트·프랑스 자수,영도구평생학습관,2024-09-19,2024-09-30,2024-10-08,2024-12-24,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2902,김운영,--,유료,Offline (오프라인),15,영도국민체육센터 동백홀,접수중,수강료 미지원
부산평생교육정보망,색연필로 그리는 그림책 속 숨은 명화,북구평생학습관,2024-08-16,2024-10-01,2024-10-08,2024-12-03,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2432,,,유료,Offline (오프라인),15,만덕도서관 다목적실,접수중,수강료 미지원
부산평생교육정보망,[디지털배움터] 카드뉴스 제작반,사하구평생학습관,2024-08-22,2024-10-01,2024-10-08,2024-10-31,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5668,박아영,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,"고전문학, 세계사와 함께 읽기",사하구평생학습관,2024-08-22,2024-09-30,2024-10-07,2024-12-23,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5672,조윤솔,051-220-5546~8,무료,Offline (오프라인),30,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,색소폰,영도구평생학습관,2024-09-19,2024-09-30,2024-10-07,2024-12-23,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2901,이기봉,--,유료,Offline (오프라인),20,영도국민체육센터 다목적홀,접수중,수강료 미지원
부산평생교육정보망,"클래식 발레(6~7세반,13시)",영도구평생학습관,2024-09-19,2024-09-30,2024-10-05,2024-12-21,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2909,박소희,--,유료,Offline (오프라인),15,영도문화예술회관 제4연습실,접수중,수강료 미지원
부산평생교육정보망,"클래식 발레(초등1,2학년, 14시)",영도구평생학습관,2024-09-19,2024-09-30,2024-10-05,2024-12-21,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2910,박소희,--,유료,Offline (오프라인),15,영도문화예술회관 제4연습실,접수중,수강료 미지원
부산평생교육정보망,"클래식 발레(6~7세반,12시)",영도구평생학습관,2024-09-19,2024-09-30,2024-10-05,2024-12-21,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2908,박소희,--,유료,Offline (오프라인),15,영도문화예술회관 제4연습실,접수중,수강료 미지원
부산평생교육정보망,뜨개질로 만드는 아기모자,사하구평생학습관,2024-08-22,2024-09-28,2024-10-05,2024-10-12,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5654,박영혜,051-220-5546~8,무료,Offline (오프라인),10,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,어반스케치로 나만의 엽서 만들기,사하구평생학습관,2024-08-22,2024-09-28,2024-10-05,2024-10-05,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5653,문나영,051-220-5546~8,무료,Offline (오프라인),10,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,CPA 컬러테라피로 보는 나의 컬러성향,사하구평생학습관,2024-08-22,2024-09-28,2024-10-05,2024-10-05,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5652,"김효선,김희연",051-220-5546~8,무료,Offline (오프라인),10,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,초등책놀이지도사 2급 자격과정,북구평생학습관,2024-08-16,2024-09-27,2024-10-04,2024-11-29,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2425,,,유료,Offline (오프라인),15,화명도서관 대강좌실,접수중,수강료 미지원
부산평생교육정보망,[휴놀교실] 장애인과 비장애인이 함께하는 <가을의 소리를 그려 보아요!>,북구평생학습관,2024-09-09,2024-09-30,2024-10-04,2024-10-25,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2463,,051-309-6172,무료,Offline (오프라인),5,정아트디자인센터(만덕동),접수중,수강료 미지원
부산평생교육정보망,닥종이인형공예,영도구평생학습관,2024-09-19,2024-09-30,2024-10-02,2024-12-18,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2904,차미경,--,유료,Offline (오프라인),15,영도국민체육센터 동백홀,접수중,수강료 미지원
부산평생교육정보망,성악,영도구평생학습관,2024-09-19,2024-09-30,2024-10-02,2024-12-18,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2903,김도현,--,유료,Offline (오프라인),20,영도문화예술회관 제2연습실,접수중,수강료 미지원
부산평생교육정보망,식습관 코칭 지도사 자격과정,사하구평생학습관,2024-08-22,2024-09-25,2024-10-02,2024-12-11,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5665,서영주,051-220-5546~8,무료,Offline (오프라인),30,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,테이스팅으로 떠나는 유럽 와인 여행,사하구평생학습관,2024-08-22,2024-09-25,2024-10-02,2024-12-11,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5657,이종철,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,퀼트·프랑스 자수,영도구평생학습관,2024-09-19,2024-09-30,2024-10-01,2024-12-17,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2902,김운영,--,유료,Offline (오프라인),15,영도국민체육센터 동백홀,접수중,수강료 미지원
부산평생교육정보망,내 인생을 담은 자서전 쓰기,사하구평생학습관,2024-08-22,2024-09-24,2024-10-01,2024-12-17,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5660,우혜진,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,내 인생을 담은 자서전 쓰기(10/8 개강),사하구평생학습관,2024-08-22,2024-09-24,2024-10-01,2024-12-17,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5660,우혜진,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,통합실버케어전문가 자격과정,사하구평생학습관,2024-08-22,2024-09-24,2024-10-01,2024-12-17,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5670,양영주,051-220-5546~8,무료,Offline (오프라인),30,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,이야기할머니 예비활동가 양성과정,사하구평생학습관,2024-08-22,2024-09-23,2024-09-30,2024-12-16,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5673,백승미,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,해피 북버스데이(14:00-15:30)(유아5~7세),영도구평생학습관,2024-09-03,2024-09-27,2024-09-29,2024-09-29,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2871,,051-419-4835,무료,Offline (오프라인),20,영도도서관 1층 주차장 책버스,접수중,수강료 미지원
부산평생교육정보망,해피 북버스데이(10:30-12:00)(초등1~3학년),영도구평생학습관,2024-09-03,2024-09-27,2024-09-29,2024-09-29,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2870,,051-419-4835,무료,Offline (오프라인),20,영도도서관 1층 주차장 책버스,접수중,수강료 미지원
부산평생교육정보망,9월 토요스토리텔링,영도구평생학습관,2024-09-03,2024-09-28,2024-09-28,2024-09-28,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2891,,051-419-4839,무료,Offline (오프라인),10,영도도서관 1층 어린이자료실,접수중,수강료 미지원
부산평생교육정보망,그림자 인형극 ？팥죽호랑이와 일곱 녀석？,영도구평생학습관,2024-09-03,2024-09-26,2024-09-28,2024-09-28,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2873,,051-419-4835,무료,Offline (오프라인),20,영도도서관 지하1층 지혜+,접수중,수강료 미지원
부산평생교육정보망,전은주 작가 초청 강연회 「그림책 육아로 공부와 인성 두 마리 토끼 잡기」,영도구평생학습관,2024-09-03,2024-09-25,2024-09-28,2024-09-28,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2894,,051-419-4834,무료,Offline (오프라인),50,영도도서관 지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,9월 폴짝폴짝 체험형 동화구연(9.27) A반,영도구평생학습관,2024-09-10,2024-09-26,2024-09-27,2024-09-27,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2919,,051-419-4834,무료,Offline (오프라인),7,영도도서관 지하1층 폴짝폴짝,접수중,수강료 미지원
부산평생교육정보망,9월 폴짝폴짝 체험형 동화구연(9.27) B반,영도구평생학습관,2024-09-10,2024-09-26,2024-09-27,2024-09-27,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2920,,051-419-4834,무료,Offline (오프라인),7,영도도서관 지하1층 폴짝폴짝,접수중,수강료 미지원
부산평생교육정보망,[찾아가는 원데이 배달강좌] (9/26) 샴푸바 만들기,북구평생학습관,2024-09-09,2024-09-20,2024-09-26,2024-09-26,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2462,,051-309-4164,무료,Offline (오프라인),15,화명종합사회복지관,접수마감,수강료 미지원
부산평생교육정보망,[퓨어공방] 스칸디아모스와 가을을 담다(주간),부산진구평생학습관,2024-08-23,2027-12-06,2024-09-25,2024-10-23,온라인,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7054&lectureCode=20240816MIJI6779&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,김하영,051-605-6382,무료,Offline (오프라인),8,기타,접수중,수강료 미지원
부산평생교육정보망,[장애인식개선교육] (9/25) 농인&청각장애인 이해,북구평생학습관,2024-09-02,2024-09-20,2024-09-25,2024-09-25,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2458,,,무료,Offline (오프라인),10,만덕도서관 3층 회의실,접수마감,수강료 미지원
부산평생교육정보망,9월 25일 들락날락 유아과학교실 &lt;알고 보면 멋진 거미&gt; 단체,영도구평생학습관,2024-08-13,2024-09-22,2024-09-25,2024-09-25,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2855,,051-419-4834,무료,Offline (오프라인),1,지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,[찾아가는 원데이 배달강좌] (9/25) 그린소재리스 만들기,북구평생학습관,2024-09-09,2024-09-20,2024-09-25,2024-09-25,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2461,,051-309-4164,무료,Offline (오프라인),15,화정종합사회복지관,접수마감,수강료 미지원
부산평생교육정보망,영선나릿작은도서관 〈모루동물인형키링 만들기〉,영도구평생학습관,2024-09-03,2024-09-20,2024-09-25,2024-09-25,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2896,,051-419-4831,무료,Offline (오프라인),7,영선나릿작은도서관(영선1동 행정복지센터 지하1층),접수마감,수강료 미지원
부산평생교육정보망,[찾아가는 원데이 배달강좌] (9/25) 라탄전구 가랜드 만들기,북구평생학습관,2024-09-09,2024-09-20,2024-09-25,2024-09-25,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2460,,051-309-4164,무료,Offline (오프라인),10,북구육아종합지원센터,접수마감,수강료 미지원
부산평생교육정보망,"9월 25일 들락날락 유아과학교실 &lt;알고 보면 멋진 거미&gt; 단체 ""2차 가능""",영도구평생학습관,2024-08-13,2024-09-22,2024-09-25,2024-09-25,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2855,,051-419-4834,무료,Offline (오프라인),2,지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,[장애인식개선교육] (9/24) 장애체험교육(휠체어체험),북구평생학습관,2024-09-02,2024-09-20,2024-09-24,2024-09-24,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2457,,,무료,Offline (오프라인),10,만덕도서관 3층 작은영화관,접수마감,수강료 미지원
부산평생교육정보망,휴먼라이브러리 사람책 김남정의 타로수비학이야기(9/24),북구평생학습관,2024-09-05,2024-09-23,2024-09-24,2024-09-24,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2465,,,무료,Offline (오프라인),10,만덕도서관 3층 회의실,접수중,수강료 미지원
부산평생교육정보망,[BLESS 4U] (9/24) 화명동 기찻길 숲길 이야기(*야외),북구평생학습관,2024-08-20,2024-09-20,2024-09-24,2024-09-24,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2455,,,무료,Offline (오프라인),15,화명동 장미공원 일원,접수마감,수강료 미지원
부산평생교육정보망,이야기꽃할머니 스토리텔링(9/21),영도구평생학습관,2024-09-04,2024-09-20,2024-09-21,2024-09-21,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2912,,051-419-4834,무료,Offline (오프라인),15,영도도서관 어린이자료실 내 유아방,접수마감,수강료 미지원
부산평생교육정보망,테스트22,서구평생학습관,2024-09-06,2024-09-20,2024-09-12,2024-09-25,온라인,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1649&menuCd=DOM_000000703001004000,,051-240-4045,무료,관련링크 참조,10,테스트22,접수마감,수강료 지원
부산평생교육정보망,생각 쑥쑥! 그림책 놀이 B반,영도구평생학습관,2024-08-13,2024-10-23,2024-09-04,2024-10-23,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2838,,051-419-4834,무료,Offline (오프라인),12,지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,[5월] 인터넷 활용,부산진구평생학습관,2023-04-19,2033-04-21,2023-05-01,2023-05-24,온라인,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6324&lectureCode=20230413OQGF3479&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,안정숙,051-605-6382,무료,Offline (오프라인),25,전산교육장,접수중,수강료 미지원
부산평생교육정보망,[5월] 왕초보 컴퓨터입문,부산진구평생학습관,2023-04-19,2033-04-21,2023-05-01,2023-05-24,온라인,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6325&lectureCode=20230413BYMG4290&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,안정숙,051-605-6382,무료,Offline (오프라인),25,전산교육장,접수중,수강료 미지원
부산평생교육정보망,[5월] 엑셀 시작하기,부산진구평생학습관,2023-04-19,2033-04-21,2023-05-01,2023-05-24,온라인,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6323&lectureCode=20230413VHVU9459&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,안정숙,051-605-6382,무료,Offline (오프라인),25,전산교육장,접수중,수강료 미지원
부산평생교육정보망,[5월] 실무문서편집,부산진구평생학습관,2023-04-19,2033-04-21,2023-05-01,2023-05-17,온라인,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6326&lectureCode=20230413AGOM3958&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,안정숙,051-605-6382,무료,Offline (오프라인),25,전산교육장,접수중,수강료 미지원
부산평생교육정보망,19.[주말 가족특강] 우리가족 크리스마스 케이크 만들기(2호),서구평생학습관,2024-09-24,2024-10-13,2024-12-21,2024-12-21,온라인,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1668&menuCd=DOM_000000703001004000,,051-240-4044,무료,관련링크 참조,10,서구평생학습관,접수예정,수강료 지원
부산평생교육정보망,17.[야간특강] 2025년 부동산 전망과 전략,서구평생학습관,2024-09-24,2024-10-13,2024-12-12,2024-12-12,온라인,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1666&menuCd=DOM_000000703001004000,,051-240-4044,무료,관련링크 참조,30,서구평생학습관,접수예정,수강료 지원
