강좌명,학습기관,학습기간,접수기간,강사명,수강료,교육방법,교육대상,교육주기,교육정원,교육장소,교육문의전화,접수방법,직업능력개발_훈련비지원,교육공고_링크,조회수
2024년 찾아가는 계층별 인구교육,영도구평생학습관,2024.11.04 ~ 2024.11.04,2024.10.21 ~ 2024.10.31,김미경강사,무료,Offline (오프라인),기타,,300,영도문화예술회관 봉래홀,051-419-4612,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2937,0
내가 만드는 유튜브 숏츠!,영도구평생학습관,2024.11.02 ~ 2024.12.21,2024.10.15 ~ 2024.11.01,,무료,Offline (오프라인),기타,,15,영도도서관 지하1층 지혜+강의실,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2935,0
[우리동네 인문학 교실] 시대로 조명해보는 베스트셀러 이야기,북구평생학습관,2024.11.01 ~ 2024.12.06,2024.08.05 ~ 2024.10.25,,무료,Offline (오프라인),일반성인,금,10,북구다문화가족지원센터(공동육아나눔터 율리점),,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2419,0
기초 코바늘 뜨기! 패브릭얀을 활용한 기초 뜨개,북구평생학습관,2024.11.01 ~ 2024.11.29,2024.08.16 ~ 2024.10.25,,750005000원,Offline (오프라인),일반성인,금,15,만덕도서관 다목적실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2440,0
11월 폴짝폴짝 체험형 동화구연(11.1.) A반,영도구평생학습관,2024.11.01 ~ 2024.11.01,2024.10.22 ~ 2024.10.31,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2939,0
Teddy Bear's Cupcake Class A,영도구평생학습관,2024.11.01 ~ 2024.11.01,2024.10.17 ~ 2024.10.30,SeridanWilliamGeoffrey,무료,Offline (오프라인),기타,,15,남항분관 2층 Multipurpose Room,051-419-5672,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2944,0
Teddy Bear's Cupcake Class A,영도구평생학습관,2024.11.01 ~ 2024.11.01,2024.10.17 ~ 2024.10.30,SeridanWilliamGeoffrey,무료,Offline (오프라인),기타,,15,남항분관 2층 Multipurpose Room,051-419-5672,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2944,0
11월 폴짝폴짝 체험형 동화구연(11.1.) B반,영도구평생학습관,2024.11.01 ~ 2024.11.01,2024.10.22 ~ 2024.10.31,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2940,0
24.[동대신1동골목시장] 금 투자법 금값은 왜 오르는가,서구평생학습관,2024.11.01 ~ 2024.11.01,2024.10.15 ~ 2024.10.31,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1706&menuCd=DOM_000000703001004000,0
14.[서대신동골목시장] 예쁜 손글씨를 담은 드라이플라워 액자,서구평생학습관,2024.10.31 ~ 2024.10.31,2024.10.15 ~ 2024.10.30,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1696&menuCd=DOM_000000703001004000,0
Teddy Bear's Cupcake Class B,영도구평생학습관,2024.10.31 ~ 2024.10.31,2024.10.17 ~ 2024.10.29,SeridanWilliamGeoffrey,무료,Offline (오프라인),기타,,15,남항분관 2층 Multipurpose Room,051-419-5672,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2943,0
13.[서대신동골목시장] 세탁 청소 올인원 만능 아로마 세제,서구평생학습관,2024.10.31 ~ 2024.10.31,2024.10.15 ~ 2024.10.30,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1695&menuCd=DOM_000000703001004000,0
상상을 그리는 디지털 드로잉,영도구평생학습관,2024.10.30 ~ 2024.12.18,2024.10.15 ~ 2024.10.29,,무료,Offline (오프라인),기타,,15,영도도서관 지하1층 지혜+강의실,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2934,0
부산광역시인권센터와 함께하는 시민 인권 아카데미,북구평생학습관,2024.10.30 ~ 2024.11.20,2024.08.16 ~ 2024.10.23,,무료,Offline (오프라인),일반성인,수,12,만덕도서관 회의실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2439,0
"4.[충무동 새벽시장] 초보자들이 궁금해하는 재건축, 재개발 투자",서구평생학습관,2024.10.30 ~ 2024.10.30,2024.10.15 ~ 2024.10.29,,무료,,고등학생,,15,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1686&menuCd=DOM_000000703001004000,0
"3.[충무동 새벽시장] 부동산 초보 탈출, 기본 부동산 용어 정리",서구평생학습관,2024.10.30 ~ 2024.10.30,2024.10.15 ~ 2024.10.29,,무료,,고등학생,,15,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1685&menuCd=DOM_000000703001004000,0
(10/29) 숲해설가와 떠나는 가을숲 나들이 - 금정산 숲길 탐방,북구평생학습관,2024.10.29 ~ 2024.10.29,2024.08.16 ~ 2024.10.22,,무료,Offline (오프라인),일반성인,화,20,야외수업(금정산 일대),,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2451,0
[BLESS 4U] (10/29) 스마트폰 기초 <네이버>편,북구평생학습관,2024.10.29 ~ 2024.10.29,2024.09.23 ~ 2024.10.25,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2469,0
10월 토요스토리텔링,영도구평생학습관,2024.10.26 ~ 2024.10.26,2024.10.02 ~ 2024.10.26,,무료,Offline (오프라인),기타,,10,,051-419-4839,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2926,0
22.[동대신1동골목시장] 고체 주방비누 만들기(천연수세미 포함),서구평생학습관,2024.10.25 ~ 2024.10.25,2024.10.15 ~ 2024.10.24,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1704&menuCd=DOM_000000703001004000,0
10월 폴짝폴짝 체험형 동화구연(10.25.) A반,영도구평생학습관,2024.10.25 ~ 2024.10.25,2024.10.08 ~ 2024.10.24,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2931,0
10월 폴짝폴짝 체험형 동화구연(10.25.) B반,영도구평생학습관,2024.10.25 ~ 2024.10.25,2024.10.08 ~ 2024.10.24,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2932,0
21.[동대신1동골목시장] 가을무드 모루인형 만들기,서구평생학습관,2024.10.25 ~ 2024.10.25,2024.10.15 ~ 2024.10.24,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1703&menuCd=DOM_000000703001004000,0
12.[서대신동골목시장] 감성 백드롭페인팅액자 만들기,서구평생학습관,2024.10.24 ~ 2024.10.24,2024.10.15 ~ 2024.10.23,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1694&menuCd=DOM_000000703001004000,0
"11.[서대신동골목시장] No플라스틱, 나만의 전사 머그컵 만들기",서구평생학습관,2024.10.24 ~ 2024.10.24,2024.10.15 ~ 2024.10.23,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1693&menuCd=DOM_000000703001004000,0
2.[충무동 새벽시장] 온가족이 사용하기 편한 고체 바디워시 바(2p),서구평생학습관,2024.10.23 ~ 2024.10.23,2024.10.15 ~ 2024.10.22,,무료,,고등학생,,10,충무동 새벽시장 상인회1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1684&menuCd=DOM_000000703001004000,0
1.[충무동 새벽시장] 나의 MBTI에 어울리는 아로마향수,서구평생학습관,2024.10.23 ~ 2024.10.23,2024.10.15 ~ 2024.10.22,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1683&menuCd=DOM_000000703001004000,0
[퓨어공방] 스칸디아모스와 가을을 담다(주간),부산진구평생학습관,2024.09.25 ~ 2024.10.23,2024.08.23 ~ 2027.12.06,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7054&lectureCode=20240816MIJI6779&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
생각 쑥쑥! 그림책 놀이 B반,영도구평생학습관,2024.09.04 ~ 2024.10.23,2024.08.13 ~ 2024.10.23,,무료,Offline (오프라인),기타,,12,지하1층 지혜+(강의실),051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2838,0
[5월] 인터넷 활용,부산진구평생학습관,2023.05.01 ~ 2023.05.24,2023.04.19 ~ 2033.04.21,안정숙,무료,Offline (오프라인),일반성인,,25,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6324&lectureCode=20230413OQGF3479&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,0
[5월] 왕초보 컴퓨터입문,부산진구평생학습관,2023.05.01 ~ 2023.05.24,2023.04.19 ~ 2033.04.21,안정숙,무료,Offline (오프라인),일반성인,,25,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6325&lectureCode=20230413BYMG4290&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,0
[5월] 엑셀 시작하기,부산진구평생학습관,2023.05.01 ~ 2023.05.24,2023.04.19 ~ 2033.04.21,안정숙,무료,Offline (오프라인),일반성인,,25,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6323&lectureCode=20230413VHVU9459&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,0
[5월] 실무문서편집,부산진구평생학습관,2023.05.01 ~ 2023.05.17,2023.04.19 ~ 2033.04.21,안정숙,무료,Offline (오프라인),일반성인,,25,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6326&lectureCode=20230413AGOM3958&menuCd=DOM_000001501001001000&orgLectGubun=info&period=66&periodLimit=Y&limitNum=2&seqAry=,0
"제430회 영도 아카데미 이호선 교수 ""부모도 사랑받고 싶다""",영도구평생학습관,2024.11.08 ~ 2024.11.08,2024.10.23 ~ 2024.11.07,이호선교수,무료,Offline (오프라인),기타,,350,영도구청 대강당,051-419-4512,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2933,0
[11월] ITQ 엑셀 자격증,부산진구평생학습관,2024.11.04 ~ 2024.11.28,2024.10.23 ~ 2024.10.25,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7292&lectureCode=20241015ATSQ3080&menuCd=DOM_000001501001001000&orgLectGubun=info&period=81&periodLimit=Y&limitNum=1&seqAry=,0
[11월] 사진편집 포토스케이프,부산진구평생학습관,2024.11.04 ~ 2024.11.25,2024.10.23 ~ 2024.10.25,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7294&lectureCode=20241015LNLS0204&menuCd=DOM_000001501001001000&orgLectGubun=info&period=81&periodLimit=Y&limitNum=1&seqAry=,0
[11월] 한글 문서 편집,부산진구평생학습관,2024.11.04 ~ 2024.11.25,2024.10.23 ~ 2024.10.25,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7293&lectureCode=20241015OLFS7412&menuCd=DOM_000001501001001000&orgLectGubun=info&period=81&periodLimit=Y&limitNum=1&seqAry=,0
[11월] 스마트폰 활용과 챗 GPT 활용,부산진구평생학습관,2024.11.01 ~ 2024.11.29,2024.10.23 ~ 2024.10.25,조현숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7295&lectureCode=20241015QFLE2594&menuCd=DOM_000001501001001000&orgLectGubun=info&period=81&periodLimit=Y&limitNum=1&seqAry=,0
19.[주말 가족특강] 우리가족 크리스마스 케이크 만들기(2호),서구평생학습관,2024.12.21 ~ 2024.12.21,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,10,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1668&menuCd=DOM_000000703001004000,0
17.[야간특강] 2025년 부동산 전망과 전략,서구평생학습관,2024.12.12 ~ 2024.12.12,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,30,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1666&menuCd=DOM_000000703001004000,0
