id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,views,work_hours,details,email,certification,preference_id,region_id
19,고용24,(주)목평인력개발,(주)목평인력개발 가야동 아파트 경비원 모집,,월급 236만원 이상,2024-10-10,2024-10-24,"부산광역시 부산진구 가야공원로 41, .. (가야동, 가야반도보라빌)",관계없음,학력무관,주 4일 근무 (주 소정근로시간: 40시간) ,경비 및 경호 서비스업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBH002410100007&rtnTarget=list1&pageIndex=1&rtnUrl=?,051-605-6403,18,,"<td> [2024.10.15(화) 부산진구 채용박람회 간접참가업체] (주)목평인력개발 가야동 아파트 경비원 모집<br/><br/>* 아파트 경비 업무<br/>- 가야반도보라빌아파트<br/>- 근무시간 : 06:30~익일06:30 (격일) <br/>- 급여 : 2,365,470원<br/><br/>문의사항은 부산진구청 취업정보센터로 전화주세요 ☎051-605-6403<br/><br/>다만, 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.<br/>** 타기관 알선 비희망/ 타기관 연계 비희망 **<br/>** 팩스, 이메일 입사지원시 지원하는 회사명을 기재바랍니다 **<br/><br/>「2024 부산진구청 채용박람회」<br/>▶ 일 시 : 2024. 10. 15. (화) 14:00~16:00<br/>▶ 장 소 : 부산시민공원 시민사랑채 내 백산홀<br/>▶ 내 용 : 채용관, 취업지원관, 이벤트관 운영<br/> - 구직자 참가신청 및 현장면접(채용), 일자리정보 제공, 취업상담<br/> - 부대행사(증명사진 촬영, 지문적성검사, 헤어메이크업, 취업컨설팅)<br/><br/>※ 부산시민공원 백산홀 찾아오시는 길 ※ <br/>▶ 시민공원북2문기준: 버스 179번,33번,44번,63번,506번<br/>▶√전화√이메일 √팩스 √방문접수 모두 가능 팩스: 051-605-6429 / 이메일: busanjinjob@korea.kr)<br/>▶√방문 [2024.10.15. (화)] 부산진구 채용박람회에 이력서 지참하여 (부산시민공원 백산홀 14:00-16:00) 현장지원 바랍니다. </td>",,관계없음 ,,9
20,고용24,한아름재가복지센터,재가요양보호사 모집,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 해운대구 좌동순환로 252 (좌동, 대원아파트)",관계없음,학력무관,주 6일 근무 ,사회복지 상담서비스 제공업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBD002410100005&rtnTarget=list2&pageIndex=1&rtnUrl=?,,11,,"<td> [ 한아름재가복지센터 재가요양보호사 모집 ]<br/>- 근무지: 해운대구 좌동순환로 252, 대원아파트 (해운대백병원 앞)<br/>- 4등급 69세 남자 어르신 (독거)<br/>- 식사 및 일상가사도움(반찬 신경 써 주실 분 선호)<br/>- 주 6일, 15:00~18:00 (월24회) <br/>- 시급: 12,500원 (수당포람)<br/>- 접수방법 : 전화 후 접수 문의- 이력서, 요양보호사자격증(필수)<br/>- 문의 : 051-903-1368 /010-6336-1368<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자 마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음. </td>",,요양보호사1급(필수),,12
21,고용24,까르르재가복지센터,<다대동> 까르르재가복지센터 요양보호사 모집,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 사하구 다대로429번길 20, . (다대동, 삼환아파트)",관계없음,학력무관,주 5일 근무 (주 소정근로시간: 15시간) ,방문 복지서비스 제공업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KF10112410100006&rtnTarget=list3&pageIndex=1&rtnUrl=?,051-240-3564,11,,"<td> 까르르재가복지센터에서 아래와 같이 요양보호사를 채용하고자 하오니 많은 응모 바랍니다.<br/><br/>-아래-<br/>1. 공고기간(24.10.10~10.24)<br/>2. 3등급 할머니(독거)<br/>3. 부산 사하구 다대동<br/>4. 주5일 근무 - 9:00~12:00 주5일<br/>5. 가사도움 위주, 일상생활도움<br/>6. 급여 : 제수당포함 12,500원<br/><br/>*지원문의 051-240-3564 </td>",,요양보호사(필수),,10
22,고용24,스마일시니어맘재가방문요양센터,(재송동) 4등급 67세 여자어르신 요양보호사 구인,,"시급 13,000원 이상",2024-10-10,2024-10-24,"부산광역시 해운대구 해운대로81번길 137 (재송동, 재송현대아파트)",관계없음,학력무관,주 3일 근무 (주 소정근로시간: 9시간) ,노인 요양 복지시설 운영업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KF10932410100005&rtnTarget=list4&pageIndex=1&rtnUrl=?,,15,,"<td> *요양보호사*<br/><br/>-해운대구 재송동 재송현대아파트<br/>-67세 4등급 여자어르신(독거)<br/>-신체활동, 정서지원 등 <br/>-근무시간 : 08:30-11:30 /주3일, 3시간<br/>-시급 13,000원<br/>-연락처 : 051-781-7818<br/> </td>",,요양보호사1급(필수),,12
23,고용24,주식회사 더파티플러스 서면지점,부산더파티 행사보조업무,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 부산진구 신천대로 252, (부암동, 일성인포아파트) (부암동, 상가동)",관계없음,학력무관,주 2일 근무 (주 소정근로시간: 16시간) ,한식 일반 음식점업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KEC0052410100003&rtnTarget=list5&pageIndex=1&rtnUrl=?,,13,,"<td> [부산외식1등 더파티에서 시니어 직원을 채용]<br/><br/>부산더파티 뷔페 행사보조업무 모집<br/>-업무 : 웨딩행사시 뷔페운영보조업무<br/>-식사 홀내 정리, 기물관리, 주차안내 등<br/>-경력무관, 신입지원가능<br/>-주말 2일, 8:30-17:00, 시급 9860원<br/><br/>*행사에 따른 업무시간 변동 있음<br/>*더파티 타지점으로 배치도 가능<br/> </td>",,관계없음 ,,9
24,고용24,(주)모시미노인복지센터,입주요양보호사 구인,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 연제구 해맞이로 23 (거제동, 거제유림아시아드)",관계없음,학력무관,주 6일 근무 ,노인 요양 복지시설 운영업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBN002410100003&rtnTarget=list6&pageIndex=1&rtnUrl=?,,41,,"<td> [거제동] 입주요양보호사 구인 <br/> <br/>- 4등급/할아버지/85세/배우자함께 생활<br/>- 주 18시간은 센터에서 급여제공, 나머지는 대상자 부담<br/>- 근무지: 거제동 거제유림아시아드 아파트 <br/>- 급여: 380만원 (주18시간- 시급 9,860원+제수당포함=12,500원) / 오전10~13시 휴게시간 (다른 요양보호사 선생님이 근무함)<br/>- 인지가 약간 낮음, 화장실 사용시 이동도움, 뒷처리 도움 필요 <br/>- 모시미노인복지센터 강인옥사회복지사 010-5513-2644<br/><br/>※실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음<br/><br/><br/> </td>",,요양보호사(필수),,11
25,고용24,(주)대성인더스트리,영업관리자,,월급 250만원 이상,2024-10-10,2024-10-24,"부산광역시 사상구 학장로135번길 9, 대성인더스트리 (학장동)",경력 (최소 1년 0 개월 이상) 우대,학력무관,주 5일 근무 (주 소정근로시간: 40시간) ,신발 부분품 제조업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBJ002410100005&rtnTarget=list7&pageIndex=1&rtnUrl=?,,31,,"<td> 본사는 나이키 협력업체로써 영업관리업무자(현황관리 및 영업)를 모집합니다.<br/>- 운전가능자(필수)<br/>- 월~금: (오전) 08:00 ~(오후) 17:00(주5일)<br/>- 휴게시간: 12:00~13:00<br/>- 임금: 250만원 이상(면접시 협의가능)<br/>- 이메일(dae0906@hanmail.net), 방문접수 </td>",,자동차운전면허1종보통(필수),,4
26,고용24,온정재가복지센터,재가요양보호사 채용합니다,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 사하구 다대낙조2길 50, . (다대동, 도시몰운대임대아파트)",관계없음,학력무관,주 5일 근무 (주 소정근로시간: 15시간) ,개인 간병 및 유사 서비스업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBI002410100001&rtnTarget=list8&pageIndex=1&rtnUrl=?,051-309-5228,57,,"<td> [다대동 도시몰운대 아파트 ]<br/><br/>○ 다대동 도시몰운대 아파트<br/>○ 대상자 : 4등급 / 남자 / 68세/ 독거<br/>○ 근무일시 : 주 5일 / 오후 2:30~5:30 (3~6시로 변경가능)<br/>○ 저녁식사 준비, 청소 등 일상생활 지원 희망<br/>○ 포괄시급: 12,500원 (시급+주휴수당+연차수당 등 제수당 포함)<br/>○ 요양보호사 자격증 필수<br/><br/>* 지원희망시: 051-309-5228<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음 </td>",,요양보호사(필수),,10
27,고용24,온정재가복지센터,재가요양보호사 채용합니다,,"시급 9,860원 이상",2024-10-10,2024-10-24,"부산광역시 사하구 다대낙조2길 50, . (다대동, 도시몰운대임대아파트)",관계없음,학력무관,주 5일 근무 (주 소정근로시간: 15시간) ,개인 간병 및 유사 서비스업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBI002410100001&rtnTarget=list9&pageIndex=1&rtnUrl=?,051-309-5228,57,,"<td> [다대동 도시몰운대 아파트 ]<br/><br/>○ 다대동 도시몰운대 아파트<br/>○ 대상자 : 4등급 / 남자 / 68세/ 독거<br/>○ 근무일시 : 주 5일 / 오후 2:30~5:30 (3~6시로 변경가능)<br/>○ 저녁식사 준비, 청소 등 일상생활 지원 희망<br/>○ 포괄시급: 12,500원 (시급+주휴수당+연차수당 등 제수당 포함)<br/>○ 요양보호사 자격증 필수<br/><br/>* 지원희망시: 051-309-5228<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음 </td>",,요양보호사(필수),,10
28,고용24,(주)호정라이프,4등급 할머니 재가요양보호사님을 모집합니다.,,"시급 12,500원 ~ 12,500원",2024-10-10,2024-10-24,"부산광역시 사하구 옥천로70번길 119, . (감천동)",경력 (최소 1년 0 개월 이상) 우대,학력무관,주 5일 근무 (주 소정근로시간: 15시간) ,그 외 기타 보건업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBK002410100004&rtnTarget=list10&pageIndex=1&rtnUrl=?,051-220-5692,43,,"<td> [감천동] 옥천로70번길 119<br/>- 4등급(89세) 할머니.독거<br/>- 08:30~11:30분 주5일<br/>- 시급 : 12,500원(제수당포함) <br/>- 전반적인 요양보호사업무<br/><br/><br/>*사하구청 일자리지원센터 채용대행중입니다.☎051-220-5692으로 문의바랍니다. </td>",,요양보호사(필수),,10
29,장노년일자리지원센터,기장군보건소 아가맘센터,2024년 기장군보건소 아가맘센터 기간제근로자 채용,,,2024-10-02,2024-10-09,부산 기장군,,,기간제 ,,https://www.busan50plus.or.kr/job/gojob/view?seq=3287,로그인 후 조회가능로그인,0,," 세부내용 1. 공 고 명: 2024년 기장군보건소 아가맘센터 기간제근로자 채용 공고<br/>2. 공고근거: 부산광역시 기장군 기간제근로자 관리규정<br/>3. 공고기간: 2024. 10. 2. ~ 10. 9.<br/>4. 채용기간: 2024. 10. 15.~ 12. 31. (예산 범위 내)<br/>5. 채용인원: 기간제근로자(간호사, 사회복지사 또는 영양사) 1명<br/>6. 세부내용: 공고문<br/><br/>** 문의 : 기장군 보건소 아가맘센터 (☎ 051-709-4865)<br/> ",,,,2
