id,combined_cleaned,region_id
107,굿모닝건설 에서 철골주차타워설치 가능 유경험자 모집 합니다 건설구조 건설토목 기타 건설현장 현실형,12
108,알바모집 요리서빙 기타 현실형,8
109,냉동창고상하차입출고하역인부구함단기알바초보가능연봉만 택배물류 건설토목 기타 현실형,16
110,제과점 월금 매장알바 구합니다 주방주방보조설거지 현실형,9
111,신입만원교육비만원면접선물재택가능 인바운드 아웃바운드 금융보험카드 탐구형,11
112,신입만원교육비만원면접선물경력우대 인바운드 아웃바운드 금융보험카드 탐구형,9
113,오픈충분한제공신입만교육비만재택가능 인바운드 아웃바운드 금융보험카드 탐구형,9
114,일만원이상가능 행사도우미서빙셋팅정리 중장년 초보가능 남녀무관 주방주방보조설거지 서빙포장 상조웨딩연회 현실형,15
115,일만원이상가능 행사도우미서빙셋팅정리 중장년 초보가능 남녀무관 주방주방보조설거지 서빙포장 상조웨딩연회 현실형,13
116,포장이사업체 이삿짐 직원구합니다 택배물류 건설토목 기타 배송이사 현실형,13
117,경력직 정책자금 사원을 모십니다 경리세무회계 아웃바운드 일반기술영업 탐구형,9
118,시시 재택가능교육비만신입만경력업적무관만 인바운드 아웃바운드 금융보험카드 탐구형,9
119,시파트재택가능 교육비신입만경력만보장면접선물 인바운드 아웃바운드 금융보험카드 탐구형,7
120,상담 교육비 신입만 경력전직소득보장 인바운드 아웃바운드 금융보험카드 탐구형,9
121,시간 상담직 교육비만신입만경력전소득보장 인바운드 아웃바운드 금융보험카드 일반기술영업 탐구형,9
122,산모 신생아 건강관리사 모집 요양간병돌봄 사회형,9
123,편의점 식품제조 조리부 파트 모집합니다 주방주방보조설거지 생산제조조립인쇄 포장검사 현실형,15
124,부산중앙본부 사업설명회누구나가능꿀알바월일하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
125,메리놀병원장례식장 주방보조 하실분 구합니다 주방주방보조설거지 현실형,6
126,분식집 주방 직원 구합니다 요리서빙 기타 주방장조리사 현실형,8
127,강추 엄궁회초장집 홀서빙포스기 사용가능하신분 요리서빙 기타 서빙포장 주방주방보조설거지 현실형,4
128,롯데백화점 광복점 모시모시초밥집에서 홀서빙직원및 아르바이트 구합니다 요리서빙 기타 백화점아울렛쇼핑몰 서빙포장 현실형,6
129,초보자도 가능한 건설현장 노가다 일하실분 모집합니다 숙식제공 친구동반가능 왕초보자환영 건설구조 건설현장 전기조명시설관리 현실형,15
130,홀알바 일시간 일근무 목금토 요리서빙 기타 현실형,9
131,호텔 구내식당 조리사 직원 모집 주방주방보조설거지 주방장조리사 현실형,5
132,웨딩더파티 간단한 서빙셋팅정리 모집일만원이상가능 주부중장년가능 서빙포장 청소미화방역 상조웨딩연회 현실형,7
133,간단한 서빙셋팅정리 하실분 모집일만원이상중장년 주부가능 서빙포장 청소미화방역 상조웨딩연회 현실형,15
134,남녀 간단한 서빙셋팅정리하실분일만원이상가능 문화여가생활 기타 서빙포장 상조웨딩연회 현실형,15
135,남녀 간단한 서빙셋팅정리하실분일만원이상가능 문화여가생활 기타 서빙포장 상조웨딩연회 현실형,13
136,스포츠센터 내 청소하실 성실하신 분 구인합니다 청소미화방역 현실형,15
137,메리츠화재본부사업설명회월일부산진역시간특장만원시분 금융보험카드 현실형,14
138,사업설명회누구나가능꿀알바월일하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
139,부전시장 내 식당 주방에서 일하실분 구합니다 요리서빙 기타 주방주방보조설거지 현실형,9
140,주목 일만원 가능한 단순서빙도우미 구함 초보중장년가능 남녀무관 서빙포장 상조웨딩연회 서비스 기타 현실형,15
141,식당에서 같이 일할 직원 구합니다 주방주방보조설거지 현실형,10
142,경력 도 없어도 가능 유통판매 기타 사무기획관리홍보 인바운드 탐구형,9
143,김밥집 주방 직원 구합니다 요리서빙 기타 주방장조리사 현실형,8
144,수수면가 송정 에서 주방 아르바이트 및 정직원 모집합니다 요리서빙 기타 주방주방보조설거지 현실형,12
145,보험영업컨설턴트 모집합니다 인바운드 금융보험카드 상담영업기타 탐구형,9
146,주성창사 톤 톤 트럭 기사 모집 택배물류 현실형,7
147,주방보조 구함 본죽앤비빔밥 주방주방보조설거지 현실형,4
148,주방보조 구합니다 요리서빙 기타 주방주방보조설거지 현실형,3
149,부산 전지역 요양병원 간병사 모집합니다 시간 시간 시간 구함 성별 무관 요양간병돌봄 사회형,11
150,섭이네촌국수 홀 파트타이머 구합니다 요리서빙 기타 현실형,15
151,장례행사 단순 도우미서빙세팅수당만원웨딩플래너상례사모집초보누구나환영 상조웨딩연회 서비스 기타 현실형,9
152,부산중앙본부 사업설명회누구나가능꿀알바월일하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
153,일만원 이상 부산 울산 양산 마산 김해 기사모집 승용차대리운전 화물중장비특수차 현실형,3
154,남녀 간단한 서빙셋팅정리하실분일만원이상 초보가능 문화여가생활 기타 서빙포장 상조웨딩연회 현실형,11
155,남녀무관 초보 서빙세팅고객응대 행사도우미 구함 일만원이상 주부가능 서빙포장 청소미화방역 상조웨딩연회 현실형,13
156,통영해물밥상한식당 홀주방 직원모집 정직원파트타임 모집 유통판매 기타 서빙포장 주방주방보조설거지 현실형,3
157,한우국밥 식당일 함께 같이 하면서 배우실 분 모집 요리서빙 기타 서빙포장 주방주방보조설거지 현실형,1
158,합판목재 지게차기사님 배송기사님 모집합니다 연령무관 중장년 가능 택배물류 화물중장비특수차 현실형,9
159,명장동 사우나 야간청소원 사우나찜질방 현실형,3
160,간단한 서빙셋팅정리 하실분 모집일만원이상중장년 주부가능 서빙포장 청소미화방역 상조웨딩연회 현실형,15
161,부산 양산 전지역 경비 보안 청소 미화 하실분 주부 가능 중장년 일자리 청소미화방역 경비보안 주차관리주차도우미 현실형,9
162,주방 정직원 경력직 및 신입 채용 요리서빙 기타 주방주방보조설거지 현실형,10
163,주방 겸 홀 직원 구함 멀티근무 알바가능 요리서빙 기타 현실형,6
164,바리스타만원인센 베이커리 정직원 및 보조 주방주방보조설거지 요리서빙 기타 유통판매 기타 탐구형,12
165,남녀 초보 서빙세팅고객응대 행사도우미 구함 일만원이상 주부가능 서빙포장 청소미화방역 상조웨딩연회 현실형,15
166,귀여운오니기리 평일오전 파트타임 자전거배달 주방보조 행복한알바 모십니당 요리서빙 기타 주방주방보조설거지 서비스 기타 현실형,6
167,웨 딩 장 례 행사 도우미 파견직 전문직 유통판매 기타 서빙포장 상조웨딩연회 현실형,4
168,일 만원 이상 가능장례도우미관리직모집 나이무관 유통판매 기타 서빙포장 상조웨딩연회 탐구형,15
169,부산중앙본부 사업설명회누구나가능꿀알바월일하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
170,냉동창고 상하차 입출고 하역 인부 구함 택배물류 건설토목 기타 현실형,16
171,컨테이너 신입경력 사원 모집 합니다 건설현장 현실형,7
172,씨케이글로벌주수산물 가공 직원대보험가입연차퇴직금단기알바 가능 생산제조조립인쇄 포장검사 현실형,10
173,간단한 서빙셋팅정리 하실분 모집일만원이상중장년 주부가능 서빙포장 청소미화방역 상조웨딩연회 현실형,15
174,급구당리동 통영회센터 홀서빙 채용 요리서빙 기타 서빙포장 현실형,10
175,송도 암남동 유료주차장 직원 채용합니다 주차관리주차도우미 탐구형,16
176,누구나가능 꿀알바월일보험스쿨보험설계사하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
177,주방업무해주실 직원모집 요리서빙 기타 주방장조리사 주방주방보조설거지 현실형,15
178,조리하실분 모집합니다 요리서빙 기타 주방장조리사 현실형,1
179,한우프라자 주방보조설거지 직원을 모집합니다 주방주방보조설거지 현실형,7
180,시시 재택가능교육비만신입만경력업적무관만 인바운드 아웃바운드 금융보험카드 탐구형,9
181,병원 구내식당 조리원 주방보조배식및 잔반처리 단순업무 모집 주방장조리사 주방주방보조설거지 청소미화방역 현실형,8
182,부전국밥 정직원 구합니다 요리서빙 기타 주방주방보조설거지 현실형,9
183,누구나가능 꿀알바월일보험스쿨보험설계사하루단기 금융보험카드 일반기술영업 사무기획관리홍보 탐구형,14
184,수산물 제조가공장 성실하게 하실 분을 모집합니다 농수산물 가공식품 제조 현실형,16
185,엄궁 청과물 직판장 미화원 구함 신체건강한분 청소미화방역 현실형,4
186,소독회사 같이 키워갈 하방맨기를 모집합니다일 만이상 수당지급 서비스 기타 청소미화방역 현실형,3
187,주방보조 구함 주방주방보조설거지 현실형,7
188,활발하고 적극적이신 분 지원하세요바퀴벌레퇴치 영업팀 모집합니다수당지급 서비스 기타 청소미화방역 현실형,3
189,하나방역 본사에서 영업에 자신 있어신 분을 모집합니다수당지급 서비스 기타 청소미화방역 탐구형,3
190,하나방역 하방맨기를 모집합니다하나방역에서 바퀴벌레 전문영업팀을 모집합니다당일 서비스 기타 청소미화방역 현실형,3
191,하나방역 하방맨기를 모집합니다일 만이상 당일지급 서비스 기타 청소미화방역 현실형,3
192,함께 할 하방맨기 모집활발하고 적극적이신 분 지원하세요당일지급 서비스 기타 청소미화방역 현실형,3
193,주방 정직원 신입 채용 요리서빙 기타 주방주방보조설거지 현실형,10
194,하방맨기 선착순 명 모집소독회사 같이 키워갈 하방맨기를 모집합니다일 만이상 당 서비스 기타 청소미화방역 현실형,3
195,큰집돼지국밥 대연점 주간 조리 야간 홀 야간 주방 모집공고 요리서빙 기타 서빙포장 주방주방보조설거지 현실형,8
196,상담사무원 모집 단순상담 인바운드 시퇴근 재택병행 사무기획관리홍보 인바운드 금융보험카드 탐구형,10
197,경원산업 취부 용접사 구인 공고 취부 용접사 사상 현실형,7
198,포코중공업 특수용접기능사 구인 공고 자격증 필수 특수용접기능사 알곤용접 자격증 필수 현실형,10
199,동래정화 경리사무원 전화응대 및 경리 현실형,3
200,모두랑 제조단순종사자 구인 공고 제조단순종사자 현실형,7
201,포코중공업 특수용접기능사 구인 공고 자격필수 특수용접기능사 알곤용접 현실형,10
202,글로벌 자동차운전원 구인 공고 남자운전필수 자동차 운전원 거래처 납품 및 관리 현장관리 탐구형,4
203,숲사랑어린이집 어린이집 조리사 구인 공고 어린이집 조리사 현실형,3
204,아쿠아셀 환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행 현실형,7
205,웰니스병원 기타보건의료종사원 구인 공고 기타 보건의료 종사원 의료기구 및 병실 베드 관리 환자 이동 및 보조 탐구형,11
206,수요양병원 조리사 구인 공고 조리사 사회형,9
207,효성프라요양병원 간호조무사 구인 공고 간호조무사 사회형,4
208,진흥산업 변압기 용접원 구인 공고 변압기 내 외부 용접 현실형,7
209,수변최고 해운대점 조리사 구인 공고 조리사 유관경력 우대 현실형,12
210,수변최고 미포점 조리사 구인 공고 조리사 유관경력 우대 현실형,9
211,수변최고 롯데점 조리사 구인 공고 조리사 유관경력 우대 현실형,9
212,금수복국 롯데점 조리사 구인 공고 조리사 유관경력 우대 현실형,9
213,수변최고돼지국밥 송정점 조리사 구인 공고 조리사 유관경력 우대 현실형,12
214,택시운전원 현실형,11
215,한국보상원 사무원 구인 공고 사무원 손실 보상 및 협의 사무 보조 관습형,12
216,쁘띠쁘아유치원 유치원 조리사 구인 공고 어린이집 조리사 현실형,3
217,드림나라병원 기타 보건 의료 종사원 공고 운전필수 기타 보건 의료 종사원 환자 안내 및 관리 주차지원 등 탐구형,11
218,도시농사꾼 농업회사법인 버섯 재배 및 물류관리 구인 공고 용호별빛공원 내 버섯재배 및 물류관리 탐구형,8
219,에프지인더스트리 선박설계사 구인 공고 선박설계 년 이상 경력필수 영어회화 가능자비즈니스 회화 능통자 대우조선한진중공업 출신 우대 현실형,12
220,제과제빵 음료제조사 조리사 근면 성실하고 오래 근무 가능한 사람 우대 현실형,1
221,수변최고돼지국밥 조리사 구인 공고 조리사 유관경력 우대 현실형,5
222,수변최고돼지국밥 센텀점 조리사 구인 공고 조리사 유관경력 우대 현실형,12
223,금수복국 온천점 조리사 구인 공고 조리사 유관경력 우대 현실형,3
224,금수복국 센텀벡스코점 조리사 구인 공고 조리사 유관경력 우대 현실형,12
225,금수복국 동래점 조리사 구인 공고 조리사 유관경력 우대 현실형,3
226,우진피엠이 사상연마 기술직 구인 공고 현실형,1
227,해뜨는어린이집 어린이집 조리사 구인 공고 어린이집 조리사 현실형,8
228,꿈드림키즈 보육보조교사 구인 공고 어린이집 보육보조 교사 사회형,11
229,시설특수관리 빌딩전기관리 호텔 시설물 유지보수 등 경력자 우대 중식제공 현실형,8
230,동창주조창 주조원 주조원 조형 조형중자 및 합형 생산 작업 현실형,4
231,하운드호텔 부산역점 호텔조리사 구인 공고 호텔 조리사 유관경력 또는 한식양식 자격증 소지자 우대 조식 직원식 런치 조리 현실형,14
232,어린이집 어린이집 운전원 구인 공고 어린이집 운전 남자 우대 현실형,11
233,택시운전원 현실형,13
234,사회복지 및 상담원 정보시스템 운영자 네트워크 운영자 사회과학 연구원 현실형,8
235,신한택시 택시운전원 구인 공고 택시운전원 현실형,13
236,아파트 청소원 모집 사업시설 유지관리 서비스업 관계없음 탐구형,4
237,시우스오피스텔 경비원 구인 인력 공급업 관계없음 현실형,10
238,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수 사회형,16
239,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수 사회형,16
240,아파트 경비원 모집 상용 인력 공급 및 인사관리 서비스업 관계없음 탐구형,9
241,식판통 배송 및 세척직원 모집정관 그 외 기타 달리 분류되지 않은 개인 서비스업 자동차운전면허필수 기타 톤 탑차운전 필수수동기어 현실형,2
242,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수 사회형,13
243,정요양병원 미화원 모십니다 건축설계 및 관련 서비스업 관계없음 사회형,17
244,요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수 사회형,12
245,재가요양보호사 모집장안 방문 복지서비스 제공업 요양보호사필수 사회형,2
246,입주 재가요양보호사 모집 건강보험업 요양보호사필수 사회형,13
247,재가요양보호사 모집 그 외 기타 보건업 요양보호사필수 사회형,9
248,경비원 사업시설 유지관리 서비스업 관계없음 탐구형,7
249,효산요양원 시설요양보호사 구인 노인 요양 복지시설 운영업 관계없음 사회형,2
250,자반공등어 가공업체 작업장근무자 구인 신선 냉동 및 기타 수산물 도매업 관계없음 현실형,10
251,오즈소아청소년과의원 조리사 모집정관 보건업 한식조리기능사필수 현실형,2
252,재가요양보호사 모집일광 방문 복지서비스 제공업 요양보호사필수 사회형,2
253,재가요양보호사 그 외 기타 보건업 요양보호사필수 사회형,7
254,그 외 기타 숙박업 관계없음 현실형,9
255,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사급필수 사회형,4
256,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수 사회형,14
257,재가요양보호사 모집 그 외 기타 보건업 요양보호사필수 사회형,8
258,재가 요양보호사 모집 개인 간병 및 유사 서비스업 요양보호사급필수 사회형,9
259,재가요양보호사 모집정관 노인 요양 복지시설 운영업 요양보호사필수 사회형,2
260,요양보호사 모집 그 외 기타 보건업 요양보호사급필수 사회형,3
261,재가요양보호사 모집 그 외 기타 비거주 복지 서비스업 요양보호사필수 사회형,9
262,재가요양보호사 모집 오전여자등급주 일 사회복지 상담서비스 제공업 요양보호사급필수 사회형,9
263,빌딩 미화원 모십니다 경비 및 경호 서비스업 관계없음 현실형,6
264,재가요양보호사 구인 그 외 기타 거주 복지시설 운영업 요양보호사필수 사회형,2
265,강서구청인근 과일가공 단순업무자 채용 과실 및 그 외 채소 절임식품 제조업 관계없음 현실형,7
266,주야간보호센터 운전기사님 모십니다 기타 부동산 임대업 자동차운전면허종보통필수 사회형,6
267,해운대 대동타운 아파트 미화원 채용 경비 및 경호 서비스업 관계없음 현실형,12
268,김해국제공항 안내보안 업무 사업시설 유지관리 서비스업 관계없음 탐구형,7
269,재가 요양보호사 채용 방문 복지서비스 제공업 요양보호사필수 사회형,9
270,재가요양보호사 구인 그 외 기타 비거주 복지 서비스업 요양보호사필수 사회형,10
271,부산서부터미널 및 애플아울렛 미화업무 사업시설 유지관리 서비스업 관계없음 탐구형,4
272,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수 사회형,9
273,등급여자 어르신 노인 요양 복지시설 운영업 요양보호사급필수 사회형,8
274,아파트 미화원 모집 사업시설 유지관리 서비스업 관계없음 탐구형,9
275,재가요양보호사 노인 요양 복지시설 운영업 요양보호사필수 사회형,15
276,재가요양보호사 모집 사회복지 상담서비스 제공업 관계없음 사회형,3
277,등급 여자어르신 돌봄 방문 복지서비스 제공업 요양보호사필수 현실형,12
278,아파트 청소원외곽 모집 경비 및 경호 서비스업 관계없음 현실형,10
279,병원식당 조리원 및 주방보조원 모집 그 외 기타 보건업 관계없음 현실형,4
280,재가요양보호사 모집 그 외 기타 비거주 복지 서비스업 요양보호사급필수 사회형,9
281,재가요양보호사 채용합니다 개인 간병 및 유사 서비스업 요양보호사필수 사회형,11
282,빌딩 청소원 소독 구충 및 방제 서비스업 관계없음 현실형,15
283,빌딩미화원 채용 소독 구충 및 방제 서비스업 관계없음 현실형,2
284,명지 우아한방병원 조리사님 채용 한방 병원 한식조리기능사우대 현실형,7
285,구서동 오피스텔 경비원 모집 경비 및 경호 서비스업 관계없음 현실형,13
286,등급 할머니 오전주일 재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수 사회형,14
287,요양보호사 채용 방문 복지서비스 제공업 요양보호사급필수 사회형,13
