출처,기업명,제목,급여,등록일,마감일,근무지역,경력,학력,근무형태,근무직종,연락처,세부내용,자격면허,링크
워크넷,태원산업주식회사,[장림동] 도금(보수작업) 생산직 모집,"일급 79,100원 ~ 79,100원",24/09/13,정보 없음,"부산광역시 사하구 다산로 232, 장림동 무지개 공단 (장림동)",관계없음,학력무관,주 5일 근무,기타 기계 및 장비 제조업,051-220-5696,"<td>
              
              [장림동] 도금(보수작업) 생산직 직원 모집 <br/><br/>- 크롬도금 및 템프링 작업<br/>- 근무 : 주5일(8시간) 07:40 - 16:40<br/>- 통근버스 운행 <br/>* 통근버스 운행노선<br/>   (온천장 전자공고앞-미남R-만덕 지하철역-덕천동 윗길-구포시장-신모라육교-사상대로-<br/>    신평지하철앞 낙동대로-장림회사)
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002409130002&rtnTarget=list2
워크넷,주식회사늘사랑재가복지센터,[다대동] 4등급 여자독거어르신 돌봄,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 사하구 다대로429번길 20, . (다대동, 삼환아파트)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,051-419-4378,"<td>
              
              *4등급 여자독거어르신 돌봄<br/>*주6일 9시~12시(3시간)<br/>*부산광역시 사하구 다대동120-10 삼환아파트 208동 (다대동)<br/><br/>*문의: 010-6899-0329<br/><br/>*시급 총 12,500원(시급 9,860원 + 주휴수당, 연차수당 별도 지급 포함)<br/>*실제 서비스 제공 기간에 따라 임금을 계산하여 지급하는 형태로, 채용 시 근로자 마다 주 소정 근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10912409130010&rtnTarget=list3
워크넷,(주)타워씨앤에스,해운대 대우월드마크아파트 사우나 미화원 모집,월급 199만원 이상,24/09/13,정보 없음,"부산광역시 해운대구 마린시티1로 137, 대우월드마크해운대 (우동)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 36시간)",경비 및 경호 서비스업,,"<td>
              
              &lt;해운대 대우월드마크 남자 사우나 미화원 모집&gt;<br/><br/>- 모집인원 : 1명<br/>- 근무내용 : 남자 사우나 청소 및 정리 정돈<br/>- 근무시간 : 15:30 ~ 22:30 (휴게시간 18:00~19:00) 주 6일 근무/월요일 휴무<br/>- 급      여 : 1,998,000원
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBQ002409130005&rtnTarget=list4
워크넷,광안동재가복지센터,[ 수영동 ] 재가요양보호사 모집,"시급 12,400원 ~ 12,400원",24/09/13,정보 없음,"부산광역시 수영구 수영성로8번길 26, . (수영동)",경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",보건 및 복지 행정,,"<td>
              
              [ 수영동 ] 재가요양보호사 선생님 모집합니다.<br/><br/>- 거주지 : 수영구 수영성로8번길 26(수영동), 대상자 거주지<br/>- 대상자 : 4등급 여자 어르신(45년생) <br/>- 근무시간 : 08:00~11:00(3시간), 주5일<br/>- 케어내용 : 일상생활지원 등 요양보호 업무<br/>- 시급: 12,400원(제수당 포함)<br/>- 채용담당자 010-8509-8805 [ 광안동재가복지센터 ]<br/><br/>* 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정지) 등의 차이가 있을 수 있음
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBM002409130001&rtnTarget=list5
워크넷,기부나눔협동조합,재가요양보호사 모집(철마),"시급 9,860원 ~ 9,860원",24/09/13,24/09/30 마감,"부산광역시 기장군 철마면 고촌로44번길 16, . (고촌휴먼시아1)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
              
              ㅁ 업 체 명 : 효나눔재가복지센터 (기부나눔 협동조합/기장센터)<br/>ㅁ 근무주소 : 철마면 고촌휴먼시아<br/>ㅁ 모집직종 : 재가요양보호사 1명 (3등급 86세 독거 남자어르신) <br/>              ** 신체/가사활동 지원 및 정서지원, 말동무 **<br/>ㅁ 우대사항 : 요양보호사 자격증 (필수)<br/>ㅁ 근무조건 : 주 6일, 09:00~12:00 <br/>ㅁ 급여사항 : 시급 12,500원 (수당포함)<br/>ㅁ 복리후생 : 4대보험, 퇴직금<br/>ㅁ 접수방법 : 전화 후 방문 - 요양보호사 자격증 사본, 1년이내 건강검진결과지<br/>ㅁ 담당자 : 051-723-9492 / 010-3044-2295 //<br/><br/><br/>*** 실제 서비스 제공기간에 따라 임금을 계산하여  지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409130006&rtnTarget=list6
워크넷,기부나눔협동조합,재가요양보호사 모집(기장),"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 기장군 기장읍 차성로 269, 뒤편",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
              
              ㅁ 업 체 명 : 효나눔재가복지센터 (기부나눔 협동조합/기장센터)<br/>ㅁ 근무주소 : 기장읍 KT전화국 뒤편<br/>ㅁ 모집직종 : 재가요양보호사 1명 (3등급 75세 독거 여자어르신) - 강아지 2마리, 실내흡연 상관 없으신 분 희망.<br/>              ** 신체/가사활동 지원 및 정서지원, 병원동행 업무 **<br/>ㅁ 우대사항 : 요양보호사 자격증 (필수)<br/>ㅁ 근무조건 : 주 6일, 09:00~12:00 (협의가능)<br/>ㅁ 급여사항 : 시급 12,500원 (수당포함)<br/>ㅁ 복리후생 : 4대보험, 퇴직금<br/>ㅁ 접수방법 : 전화 후 방문 - 요양보호사 자격증 사본, 1년이내 건강검진결과지<br/>ㅁ 담당자 : 051-723-9492 / 010-3044-2295 //<br/><br/><br/>*** 실제 서비스 제공기간에 따라 임금을 계산하여  지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409130005&rtnTarget=list7
워크넷,（주）상동실업,[장림동] 시내버스청소원 모집,월급 165만원 ~ 170만원,24/09/13,정보 없음,"부산광역시 사하구 을숙도대로 678, 동남여객(주) (장림동)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 33시간)",건축물 일반 청소업,051-220-5692,"<td>
              
              [장림동] 버스청소원 모집<br/>- 시내 버스 내부청소 및 버스종점내 주차장청소<br/>- 주 6일(월~토 08시~15:30분)<br/>- 휴게시간 2시간(11시~13시)<br/>- 급여: 1,650,000~1,700,000원<br/><br/>*사하구청 일자리지원센터 채용대행중 입니다.  051-220-5692으로 문의 바랍니다.
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002409130001&rtnTarget=list8
워크넷,（주）삼성보안공사,[좌동] 아파트 청소원 모집,"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 해운대구 청사포로 12, .. (좌동, 에스케이뷰아파트)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 30시간)",경비 및 경호 서비스업,,"<td>
              
              - 좌동 에스케이뷰아파트<br/>- 아파트 단지 내 청소<br/>- 신주 3층까지 있음<br/>- 근무시간: 평일 09:00~15:30/토 09:00~12:00(격주)<br/>- 임금 1,543,090원<br/><br/>
</td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002409130004&rtnTarget=list9
워크넷,(주)참조은재가복지센터,[반송동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/13,정보 없음,"부산광역시 해운대구 아랫반송로21번길 78, 탑마트 인근 (반송동)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
<br/><br/>- 아랫반송로21번길 탑마트 인근 <br/>- 4등급 칠십팔세 남자어르신 / 독거<br/>- 주 6일(월~토 )/ 07:30 ~ 09:30<br/>- 시급 : 9,860원(수당포함 시 약 12,500원) <br/>- 가사지원(청소,식사), 신체활동, 정서지원, 일상생활지원<br/>- 주간보호센터 가기 전 식사 및 청소 등 지원<br/><br/>※ 문의 ☎ 010-9774-1268 / ☎ 051-525-0777  [(주)참조은재가복지센터] ※
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409130003&rtnTarget=list10
워크넷,(주)참조은재가복지센터,[반송동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/13,정보 없음,"부산광역시 해운대구 반송순환로 162, . (반송동, 정원빌라)",관계없음,학력무관,주 5일 근무,방문 복지서비스 제공업,,"<td>
              
              [반송동] 재가요양보호사 모집<br/><br/>- 반송순환로 162 , 반송시립도서관 인근  <br/>- 4등급 81세 여 어르신<br/>   (독거,치매 있으심)<br/>- 주5일 7:30~09:30   <br/>- 시급 : 9,860원 ( 수당 별도 -&gt; 약 12500원 )<br/>- 주간보호센터 등원전 도움 <br/><br/>**(주)참조은재가복지센터: 010-9774-1268, 051-525-0777 **
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409130002&rtnTarget=list1
워크넷,요양365재가복지센터,[연산동] 재가요양보호사 채용,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 연제구 연수로148번길 92, 연산더삽 인근 빌라 (연산동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 21시간)",방문 복지서비스 제공업,,"<td>
              
              [연산동] 부부 어르신 재가요양보호사 채용<br/><br/>- 4등급 할아버님, 4등급 할머님 (80대, 부부 어르신)<br/>- 남자어르신 : 주5일 (월~금), 9:00~12:00<br/>  여자어르신 : 주2일 (월, 금) 14:30~17:30 (병원 투석 동행 - 동의의료원)<br/>- 급여 : 시급 9,860원 (주휴수당 1,972원, 연차수당 668원)<br/>- 근무지 : 연제구 연수로 148번길 근처 빌라 (물만골역 1번 출구 도보 7분 거리)<br/>- 필수자격 : 요양보호사 자격증, 1년 이내 건강검진<br/>- 정서지원, 청소, 식사챙김, 병원동행 (월,금)<br/>- 지원문의 : 010-2511-8595 (요양365재가복지센터 담당자)<br/><br/>- 문의 010-2511-8595 (요양365 재가복지센터)
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002409130002&rtnTarget=list2
워크넷,(주)듀델코리아,[해운대구 우동] 해운대 아이파크 미화원 (광택기계) 채용,"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 해운대구 마린시티2로 38, , (우동, 해운대아이파크)",신입,학력무관,주 6일 근무,경비 및 경호 서비스업,,"<td>
              
              [해운대구 우동] 해운대 아이파크 미화원 (광택기계) 채용<br/><br/>ㅁ 근무주소 : 해운대구 마린시티2로 38 (우동)<br/>ㅁ 모집직종 : 아파트 미화원 (광택기계) 1명<br/>ㅁ 필수사항 : 청소장비 사용 가능자 (돌돌이 가능자)<br/>ㅁ 근무시간 : 주 6일, 평일 8시~16시 (휴게 12시~13시), 토요일 8시~12시<br/>ㅁ 월 급 여 : 2,024,230원    <br/>ㅁ 지원문의 : 미화소장 유선 연락 후 면접 문의 (연락처 010-3051-0034)<br/><br/>** 연락주실 때 '해운대 아이파크 미화지원'이라고 말씀 부탁드립니다. **<br/>** 사전 약속없이 근무지 (아파트)로 방문하지 않도록 해주시기 바랍니다. **
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002409130001&rtnTarget=list3
워크넷,(주)일성냉동,아이스크림 제조공장 냉동기계 시설관리자,"연봉 3,700만원 ~ 3,900만원",24/09/13,정보 없음,부산광역시 사하구 다대로320번길 10 (장림동),경력 (최소 1년 0 개월 이상) 필수,학력무관,"주 5일 근무
(주 소정근로시간: 40시간)",아이스크림 및 기타 식용빙과류 제조업,,"<td>
              
              [아이스크림 제조공장 냉동기계 시설관리자]<br/>- 빙과류, 아이스크림 제조공장<br/>- 냉동기계(콤프레샤) 운전 및 시설관리 <br/>- 냉동공조관련자격증 소지자(숙련자 우대)<br/>- 근무 08:30 ~20:30 (주5일 40시간)<br/>- 3조2교대 (주주/야야/비휴)<br/>- 연봉 : 37,000,000원~39,000,000원 (면접시 경력에 따른 차등지급)<br/>*연장근로 및 야간근로 수당 포함한 금액임 (휴게 2시간)
            </td>","공조냉동기계기능사(필수)
기타 : 냉동공조관련자격증",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0052409130001&rtnTarget=list4
워크넷,하늘샘재가노인복지센터,[사하구] 재가요양보호사 모집,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 사하구 낙동대로398번길 12, 사하구청 인근 거주 (당리동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              - 사하구 당리동 사하구청 인근 거주<br/>- 4등급  여자어르신(80대중반): 독거<br/>- 주5일 / 09:00~12:00(3시간)<br/>- 월3회 목욕차 지원 옴(월요일 09:00~10:00) : 목욕차 오는 월요일만 근무시간 10:00~13:00로 조정<br/>- 신체활동 및 일상생활지원, 가사지원, 식사지원 등<br/>- 시급 : 9,860원~ (수당별도지급)<br/>**문의 010-7240-0690
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10912409130007&rtnTarget=list5
워크넷,한마음재가노인복지센터,★[화명동]3등급/오전/할머니/월24회 재가요양보호사 모십니다,"시급 9,860원 이상",24/09/13,24/09/27 마감,"부산광역시 북구 화명신도시로 255 (금곡동, 율리마을주공아파트)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",사회복지 상담서비스 제공업,,"<td>
              
              ★[화명동]3등급/오전/할머니/월24회 재가요양보호사 모십니다<br/><br/>[화명동 율리 주공 ]<br/>- 3등급 70대 중반 할머니(가족 동거/배우자)<br/>- 시간: 09시~12시 (월24회)<br/>- 시급: 9,860원(주휴 수당 등 발생 시 별도 지급)<br/>- 업무 : 거동가능하심.가사지원.병원동행<br/><br/>* 지원문의 : 한마음재가 노인복지센터 이기현 010-3958-3934
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBI002409130001&rtnTarget=list6
