id,company,title,subtitle,work_category,details,certification,label
42,나눔복지 사회적협동조합,"부산 전지역 요양병원 간병사 모집합니다. 12시간, 24시간, 48시간 구함. 성별 무관",,요양·간병·돌봄,,,
43,장원갈비,주례 장원갈비 종일반 정직원 모집합니다,,"요리·서빙 기타, 서빙·포장",,,
44,더본코리아 홍콩반점0410 부산영도대,홍콩반점 영도 (주방) 10시~21시30 급여280 수습1개월,,"요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,,
45,CU 반여캐슬점,평일오후.오전반 직원분 구합니다,,편의점,,,
46,올레,태종대 조개구이촌 올레에서 이모 모집합니다.,,요리·서빙 기타,,,
47,지에스(GS)25 사하구평점,"GS25 사하구평점 수, 목, 금 (저녁~밤) 근무자 모십니다",,편의점,,,
48,성욱반점,부산대 중국집 주방보조 모집합니다,,"요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,,
49,고성기획,전단지 아르바이트 경력자모집,,서비스 기타,,,
50,더 에듀 기장학원,학원 하원 차량기사님 구합니다(스타렉스 12인승),,승용차·대리운전,,,
51,아랑돈까스(달과6펜스),홀 파트타임 3시간 (홀서빙),,요리·서빙 기타,,,
52,짚신매운갈비찜 광안점,짚신매운갈비찜 광안점 주말 홀 서빙 구합니다,,"요리·서빙 기타, 유통·판매 기타, 주방·주방보조·설거지",,,
53,샤브하루,홀서빙 직원,,서빙·포장,,,
54,아수라,아수라-(일월화)주방,,요리·서빙 기타,,,
55,하나방역 본사(pest119),하방맨2기 선착순 5명 모집.소독회사 같이 키워갈 하방맨2기를 모집합니다.일 12만이상 당,,"서비스 기타, 청소·미화·방역",,,
56,고성횟집,(하단동) 식당 홀 서빙 직원 구합니다. (일/월 ),,"요리·서빙 기타, 서빙·포장",,,
57,육림구공탄,육림구공탄 주말 (금.토.일)주방보조1명 알바모집,,요리·서빙 기타,,,
58,성오기업(주),부산신항만 물류창고 단순노무 장기일용직모집,,"택배·물류, 건설현장, 배송·이사",,,
59,1번지마트,"부암동 1번지마트 매장관리, 캐셔 모집",,대형마트·유통점,,,
60,그랜드조선 직원식당,호텔 구내식당 조리사/세척 직원 모집,,"주방·주방보조·설거지, 주방장·조리사",,,
61,마린비어센텀점,"펍카페 마린비어 주방 직원, 알바] (초보가능)구함",,"요리·서빙 기타, 주방·주방보조·설거지",,,
62,생생낙지,주방실장 주방보조 모집합니다. 동일업종경력자우대,,"요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,,
63,스위트1225,범일동 카페 점심12시~3시(주4회) 아르바이트 구합니다,,"주방·주방보조·설거지, 주방장·조리사",,,
64,브라운도트호텔 센텀점,"청소 직원 모집 합니다. (호텔,모텔)",,"모텔·호텔·숙박, 서비스 기타",,,
65,보스톤치과,치과에서 일하실분 초보가능,,간호조무사·간호사,,,
66,백채김치찌개 영도점,영도 동삼동 목.금 홀써빙 모집 (백채 김치찌개),,요리·서빙 기타,,,
67,때깔 영도점,때깔 영도점에서 주방보조 직원모집합니다,,요리·서빙 기타,,,
68,하나방역 본사(pest119),소독회사 같이 키워갈 하방맨2기를 모집합니다.일 12만이상.영업 자신 있으신 분 환영.,,"서비스 기타, 청소·미화·방역",,,
69,하나방역 본사(pest119),당일지급.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.,,"서비스 기타, 청소·미화·방역",,,
70,더리본 주식회사,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영",,"요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,,
71,더리본(주),경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능),,"서빙·포장, 상조·웨딩·연회, 서비스 기타",,,
72,(주)더리본(W웨딩/더파티),"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X",,"문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,,
73,(주)더리본(W웨딩/더파티),"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X",,"문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,,
74,부산명지 센터 AIA생명 본사직영,센.터.오.픈 상담원 / 콜센터,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
75,예스코리아,"Tm. 리서치설문조사,아주쉬움,맛집조사,전화업무,월~금 주2일~주3일도 가능",,"서비스 기타, 사무·기획·관리·홍보",,,
76,예스코리아,"Tm.스케줄러 모집, 기본급+인센티브 약속잡아주는 TM 누구나 정말쉬운업무",,"서비스 기타, 아웃바운드·TM, 상담·영업기타",,,
77,예담,식자재 배송 기사님  채용합니다,,축산·청과·농수산,,,
78,씨케이글로벌(주),"씨케이글로벌(주)수산물 가공 직원OK4대보험가입연차,퇴직금,단기알바 가능",,"생산·제조·조립·인쇄, 포장·검사",,,
79,하나방역 본사(pest119),같이 할 하방맨2기 모집.일 12만이상 당일지급,,"서비스 기타, 청소·미화·방역",,,
80,밥상극장,부산진구 범내골 위치 한식뷔페 홀 아르바이트 구합니다,,요리·서빙 기타,,,
81,부산연산 AIA생명 본사직영센터,9-3시1-6시] 재택가능교육비150만신입200만/경력업적무관400만,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
82,SK센터 부산 최초 신규콜센터,교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
83,SK센터 부산 최초 신규콜센터,교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
84,메리츠화재해상보험주식회사,12일~ 21일 앉아서 강의 듣는 알바하실분 모집합니다.,,"인바운드·CS, 금융·보험·카드, 사무·기획·관리·홍보",,,
85,현대인쇄사,야간에 광고물 부착하실 기사분 구해요 차량 소유자이신분 연락 주세용~~,,서비스 기타,,,
86,Cafe CORALANI(카페코랄라니,바리스타(220만원+인센티브) / 베이커리(근무급여협의),,"주방·주방보조·설거지, 요리·서빙 기타, 유통·판매 기타",,,
87,청송골갈비,"청송골갈비 서빙 모집 / 시급 12,000원 / 금,토,일 / 주말 알바",,"요리·서빙 기타, 서빙·포장",,,
88,그랜드조선 직원식당,호텔 구내식당 조리사/세척 직원 모집,,"주방·주방보조·설거지, 주방장·조리사",,,
89,(주)이마트 금정점,2024년 추석 명절 단기 스태프 모집,,"백화점·아울렛·쇼핑몰, 대형마트·유통점, 유통·판매 기타",,,
90,쥬디스신관주차장,주차발렛파킹 일을 성실하게 하실 분을 정규직으로 모집합니다.,,주차관리·주차도우미,,,
91,부산서면 센터 AIA생명 본사직영,초보가능  신입 200만원 보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
92,하나방역 본사(pest119),소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 당일지급.선착순5명,,"서비스 기타, 청소·미화·방역",,,
93,부산 서면 현대카드 AIA 생명,신입200만원/교육비150만원/면접선물/재택가능,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
94,모시모시,롯데백화점 광복점모시모시에서 주방 초밥부 및 간데기정직원(경력자)구합니다,,"백화점·아울렛·쇼핑몰, 주방장·조리사, 주방·주방보조·설거지",,,
95,두툼왕돈까스,주방 겸 홀 직원 구함 멀티근무 (알바가능),,요리·서빙 기타,,,
96,명지동AIA 본사콜센터 신규오픈,(10-3시파트재택가능) 교육비150신입200만경력400만보장면접선물,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
97,SK센터 부산 최초 신규콜센터,교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
98,명지동 신한카드 TM콜센터,1기 OPEN (오전.오후파트상담원),,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
99,온 요양간병사 사회적협동조합,환자를 케어하며 즐겁게 병원생활을 하실 분을 모십니다.,,요양·간병·돌봄,,,
100,청룡민물장어주식회사,청룡민물장어주식회사 정직원 모집,,"요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,,
101,하나방역 본사(pest119),소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 당일지급,,"서비스 기타, 청소·미화·방역",,,
102,LG헬로비전장산역,경력 1도 없어도 가능,,"유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,,
103,크린토피아부산연제지사,세탁 직원 모집합니다,,"청소·미화·방역, 생산·제조·조립·인쇄, 건설·토목 기타",,,
104,하나방역 본사(pest119),하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.당일지급,,"서비스 기타, 청소·미화·방역",,,
105,그랜드조선 직원식당,호텔 구내식당 조리사/세척 직원 모집,,"주방·주방보조·설거지, 주방장·조리사",,,
106,위더스파크,"(단기) 송도 메리어트호텔에서 발렛파킹 남,여 직원 채용합니다.",,주차관리·주차도우미,,,
107,센텀마트,급)센텀마트 일요일 카운터 구합니다,,유통·판매 기타,,,
108,박해윤통영해물밥상 동래점,통영해물밥상(한식당) 주방 직원모집 ( 정직원 ),,"요리·서빙 기타, 주방·주방보조·설거지",,,
109,SK센터 부산 최초 신규콜센터,교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
110,하나방역 본사(pest119),같이 할 하방맨2기 모집.일 12만이상 수당지급,,"서비스 기타, 청소·미화·방역",,,
111,더리본 주식회사,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영",,"요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,,
112,더리본 주식회사,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영",,"요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,,
113,롤링파스타 부산명지점,롤링파스타 명지점 평일 주방 보조 알바 구해요,,"요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,,
114,LG헬로비전전포역,경력 1도 없어도 가능,,"유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,,
115,LG헬로비전전포역,경력 1도 없어도 가능,,"유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,,
116,더리본(주),경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능),,"서빙·포장, 상조·웨딩·연회, 서비스 기타",,,
117,더리본(주),경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능),,"서빙·포장, 상조·웨딩·연회, 서비스 기타",,,
118,브라운도트호텔 센텀점,"청소 직원 모집 합니다. (호텔,모텔)",,"모텔·호텔·숙박, 청소·미화·방역, 서비스 기타",,,
119,장안나물밥,장안나물밥 홀서빙 / 주방직원 모집합니다,,"서빙·포장, 주방장·조리사, 주방·주방보조·설거지",,,
120,그랜드조선 직원식당,호텔 구내식당 조리사/세척 직원 모집,,"주방·주방보조·설거지, 주방장·조리사",,,
121,(주)더리본(W웨딩/더파티),"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X",,"문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,,
122,(주)더리본(W웨딩/더파티),"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X",,"문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,,
123,조선웨스틴부산호텔 (주)삼익,웨스틴조선부산 호텔 세탁실 직원 모집,(주)삼익,"모텔·호텔·숙박, 서비스 기타",,,
124,부산 명지센터 AIA생명 본사직영,오픈1기  교육비150만신입200만경력400만,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
125,부산연산 AIA생명 본사직영센터,9-3시1-6시] 재택가능교육비150만신입200만/경력업적무관400만,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
126,태광,컨테이너 수리 (신입사원 )모집 합니다.,,건설현장,,,
127,숲사랑어린이집,숲사랑어린이집,어린이집 조리사 구인 공고,어린이집 조리사               ,,,
128,아쿠아셀(주),아쿠아셀,,환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행,,,
129,웰니스병원,웰니스병원,기타보건의료종사원 구인 공고,"기타 보건의료 종사원 의료기구 및 병실 베드 관리, 환자 이동 및 보조 ",,,
130,수요양병원,수요양병원,조리사 구인 공고,조리사,,,
131,효성프라요양병원,효성프라요양병원,간호조무사 구인 공고,간호조무사,,,
132,진흥산업,진흥산업,변압기 용접원 구인 공고,                                    변압기 내 외부 용접                                                   ,,,
133,수변최고 해운대점,수변최고 해운대점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
134,수변최고 미포점,수변최고 미포점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
135,수변최고 롯데점,수변최고 롯데점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
136,금수복국 롯데점,금수복국 롯데점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
137,수변최고돼지국밥 송정점,수변최고돼지국밥 송정점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
138,(주)가성,,,                                                                                         택시운전원            ,,,
139,한국보상원,한국보상원,사무원 구인 공고,"                                    사무원 (손실 보상 및 협의, 사무 보조)                                                  ",,,
140,쁘띠쁘아유치원,쁘띠쁘아유치원,유치원 조리사 구인 공고,어린이집 조리사               ,,,
141,드림나라병원,드림나라병원,기타 보건 의료 종사원 공고,"기타 보건 의료 종사원                                                   환자 이송 및 관리, 병실 관리 등                                                 ",,,
142,도시농사꾼 농업회사법인,도시농사꾼 농업회사법인,버섯 재배 및 물류관리 구인 공고,                                    용호별빛공원 내 버섯재배 및 물류관리                                                  ,,,
143,에프지인더스트리,에프지인더스트리,선박설계사 구인 공고,"                                    선박설계 (10년 이상 경력필수)                                                                            영어회화 가능자(비즈니스 회화 능통자), 대우조선/한진중공업 출신 우대                                       ",,,
144,(주)코콕,,, 제과제빵 / 음료제조사 / 조리사                 근면 성실하고 오래 근무 가능한 사람 우대              ,,,
145,수변최고돼지국밥,수변최고돼지국밥,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
146,수변최고돼지국밥 센텀점,수변최고돼지국밥 센텀점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
147,금수복국 온천점,금수복국 온천점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
148,금수복국 센텀벡스코점,금수복국 센텀벡스코점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
149,금수복국 동래점,금수복국 동래점,조리사 구인 공고,                                    조리사 (유관경력 우대)                                                  ,,,
150,우진피엠이,우진피엠이,"CNC,MCT,사상,연마 기술직 구인 공고",,,,
151,[채용마감] 해뜨는어린이집 - 어린이집 조리사 구인 공고 (남구),해뜨는어린이집,어린이집 조리사 구인 공고,어린이집 조리사               ,,,
152,[채용마감] 꿈드림키즈 - 보육보조교사 구인 공고 (연제구),꿈드림키즈,보육보조교사 구인 공고,어린이집 보육보조 교사               ,,,
153,(주)지엠네트웍스,,,"시설특수관리 (빌딩전기관리, 호텔 시설물 유지보수 등)                 경력자 우대, 중식제공                ",,,
154,동창주조창,동창주조창,주조원,"주조원 (조형)                 조형,중자 및 합형 생산 작업                ",,,
155,하운드호텔 부산역점,하운드호텔 부산역점,호텔조리사 구인 공고,호텔 조리사 (유관경력 또는 한식/양식 자격증 소지자 우대)              조식 & 직원식 & 런치 조리                 ,,,
156,가안방문요양센터,재가요양보호사 채용,,방문 복지서비스 제공업,"<td> [장림동] 재가요양보호사<br/><br/>- 4등급90세여자 화상 어르신 케어업무<br/>- 주5일 9시~ 12시<br/>- 제수당 포함 12,400원(기본시급 9,860원)<br/>- 신체지원 및 가사지원<br/>- 거동 잘하십니다.<br/>- 반찬과 원룸이라 청소 정도입니다. </td>",요양보호사(필수),
157,섬기는재활복지센터,재가요양보호사 모집,,개인 간병 및 유사 서비스업,"<td> -대연5동 주민센터 인근 빌라<br/>-4등급 76세 할머니(독거)<br/>-가사지원(반찬도움), 정서지원, 병원 동행 등<br/>-09:00~12:00(앞뒤로 30분 조율가능)<br/>-주3일<br/>-시급 총 12,500원(시급 9,860원 + 주휴수당, 연차수당 별도 지급 포함)<br/>* 채용담당자: 010-3414-6270(공휴일에도 문의 가능)<br/> </td>",요양보호사(필수),
158,보성재가노인복지센터,<괴정동>재가요양보호사 모집,,개인 간병 및 유사 서비스업,"<td> - 괴정 사하성당 뒤쪽<br/>- 3등급 할머니(독거)<br/>- 주5일 9:00~12:00 <br/>- 식사,청소등 가사도움 위주<br/>-시급:12,500원(제수당 포함) </td>",요양보호사(필수),
159,주식회사 씨에이치엠,SK텔레콤 안락사옥 미화직원 채용,,비주거용 부동산 관리업,"<td> 건물 청소원 모잡<br/>- 근무지: 충렬대로 412 (안락동) SK텔레콤<br/>- 직무내용 : 건물 내외부 청소,화단관리<br/>- 근무시간 : 오전 06:00~15:00 <br/> (휴게시간: 09:~10:00, 12:00~13:00 2시간) 주5일,35시간<br/>- 급여 : 월 2,041,560원<br/>- 제출서류 : 이력서,자기소개서<br/>- 지원방법 : 워크넷 입사지원시스템, 자사채용사이트(c00780@i-chm.co.kr)<br/> </td>",관계없음  ,
160,다정재가노인복지센터,재가요양보호사 모집(남부민동),,방문 복지서비스 제공업,"<td> 요양보호사 모집 <br/>-4등급 할아버지 (낮에는 혼자계심)<br/>- 09:00~12:00 / 주5일<br/>- 신체활동지원, 정서지원 및 가사활동지원<br/>- 시급 :주휴연차수당 포함 12,500원 </td>",요양보호사(필수),
161,브니엘예술고등학교,브니엘예술고등학교 교육공무직원(조리원) 채용공고,,일반 고등학교,"<td> [브니엘예술고등학교]<br/>급식실 조리원 모집<br/>근무시간 : 일8시간 ( 출근시간 / 조식조: 7시30분, 일반조: 8시30분, 석식조: 8시30분-초과근무수당 지급)<br/>임금 : 월2,136,000원 이상<br/>문의 : 051-582-2142 / 팩스: 582-9179<br/> </td>",관계없음  ,
162,주식회사하나종합관리,(채용대행) 명륜동 명륜자이 아파트 미화원,,경비 및 경호 서비스업,"<td> [명륜동 명륜자이 아파트 미화원]<br/><br/>▶미화원 1명<br/>▶출근일: 8/22(목)<br/>▶근무지: 동래구 명륜로 139번길 22 <br/>▶근무시간: (월~금) 9시~16시 (토)9시~12시<br/>▶휴게시간:1시간 15분<br/>▶급여: 월 1,606,690원<br/>▶제출서류: 이력서 <br/>▶접수방법: 메일 (hw702-9196@naver.com) 또는 팩스 (051-702-9188)<br/>▶문의: 해운대새일센터 /051-702-9196<br/><br/>*실업급여 수급 목적을 위한 지원은 자제 부탁드립니다.* </td>",관계없음  ,
163,서진재가노인복지센터,재가요양보호사 구인,,사회복지 서비스업,"<td> [감천동] 전원빌라 재가요양보호사 구인<br/><br/>- 대 상 : 4등급 60대후반 할머니 (배우자계심)<br/>- 근무시간 : 주5일 13시~16시<br/>- 기본시급 : 9,860원 (제수당 포함 12,500원) <br/>- 오른쪽 팔을 거의 쓰지 못하셔서 가사위주의 도움을 필요로 함<br/>- 작은 강아지 있음.(말티즈 순함)<br/><br/>*사하구청 일자리지원센터 채용대행중입니다. 051-220-5692으로 지원문의바랍니다.<br/>** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음. </td>",요양보호사(필수),
164,두표재가복지센터,재가요양보호사 모집,,방문 복지서비스 제공업,"<td> [신선동] 재가요양보호사 모집<br/><br/>- 부산 영도구 도래샘길 18, 신선동/ 남도여중에서 7분거리<br/>- 4등급 44년생 여자어르신/ 독거/ 거동가능하나 어지럼증이 심하여 낙상위험있으니 주의<br/>- 주5일/ 09:00~12:00<br/>- 시급 : 9,860원(수당포함 시 약 12,500원)<br/>- 신체활동, 일상생활, 인지활동, 정서지원/ 어르신 꼼꼼히 챙겨주시고 말벗 부탁합니다.<br/><br/>※ 두표재가복지센터 : 010-8835-7644 ※<br/> </td>",요양보호사(필수),
165,정가득재가노인복지센터,재가요양보호사 채용합니다,,방문 복지서비스 제공업,"<td> - 4등급 할머니<br/>- 13:00~16:00 / 주3일,1일 3시간<br/>- 일반적인 케어 등<br/><br/>* 자세한 문의 사항은 051-970-2351로 해 주세요. </td>",요양보호사(필수),
166,강남재가복지센터,재가요양보호사 채용,,방문 복지서비스 제공업,"<td> [부곡동] 재가요양보호사 채용<br/><br/>- 4등급 할머니 (80대 초반, 독거)<br/>- 주3일 근무, 오전 8시~11시<br/>- 금정구 동현로 89 (부곡동, 시영아파트)<br/>- 시급 : 9,860원 (주휴수당 1,972원, 연차수당 768원 별도지급)<br/>- 일상생활지원 및 신체활동, 정서지원, 가사지원 등<br/><br/>**지원을 희망하시는 분은 051-414-1008 (강남재가복지센터)로 문의주세요<br/><br/>● 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음. </td>",요양보호사1급(필수),
167,주식회사 지엔비,용호동 아파트 보안대원 채용,,사업시설 유지․관리 서비스업,"<td> - 용호동 아파트 보안대원 채용<br/>- 신임경비교육 이수 필수<br/>- 컴퓨터 사용가능자(기본)<br/>- 3교대..주주야야비비(주간08;00~18:00,야간18:00~익일08:00)/ 휴게시간(주간 1시간, 야간 1.5시간)<br/>-급여:2,566,980원<br/>-지원문의 031-8045-4213<br/>- 인근거주자 및 즉시 출근가능자 우대<br/> </td>",관계없음  ,
168,바른마음재가복지센터,어르신 다정하게 보살펴 주실 요양보호사 구합니다.,,사회복지 서비스업,"<td> - 사하구 감천항로 190번길 47-3<br/>- 4등급/55년생/여자 어르신<br/>- 13:00~16:00/주5일, 3시간<br/>- 시급;12,400원(수당포함)<br/>*경력 6개월 이상 필수*<br/><br/>※실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음<br/> </td>","요양보호사(필수)
기타 : 치매교육이수증",
