id,cleaned_merged_column,label,label2
48,부산대 중국집 주방보조 모집합니다 요리서빙 기타 주방장조리사 주방주방보조설거지,현실형,
49,전단지 아르바이트 경력자모집 서비스 기타,현실형,
50,학원 하원 차량기사님 구합니다스타렉스 12인승 승용차대리운전,현실형,
51,홀 파트타임 3시간 홀서빙 요리서빙 기타,현실형,
52,짚신매운갈비찜 광안점 주말 홀 서빙 구합니다 요리서빙 기타 유통판매 기타 주방주방보조설거지,진취형,
53,홀서빙 직원 서빙포장,현실형,
54,아수라일월화주방 요리서빙 기타,현실형,
55,하방맨2기 선착순 5명 모집소독회사 같이 키워갈 하방맨2기를 모집합니다일 12만이상 당 서비스 기타 청소미화방역,현실형,
56,하단동 식당 홀 서빙 직원 구합니다 일월 요리서빙 기타 서빙포장,현실형,
57,육림구공탄 주말 금토일주방보조1명 알바모집 요리서빙 기타,현실형,
58,부산신항만 물류창고 단순노무 장기일용직모집 택배물류 건설현장 배송이사,현실형,
59,부암동 1번지마트 매장관리 캐셔 모집 대형마트유통점,진취형,
60,호텔 구내식당 조리사세척 직원 모집 주방주방보조설거지 주방장조리사,현실형,
61,펍카페 마린비어 주방 직원 알바 초보가능구함 요리서빙 기타 주방주방보조설거지,현실형,
62,주방실장 주방보조 모집합니다 동일업종경력자우대 요리서빙 기타 주방장조리사 주방주방보조설거지,현실형,
63,범일동 카페 점심12시3시주4회 아르바이트 구합니다 주방주방보조설거지 주방장조리사,현실형,
64,청소 직원 모집 합니다 호텔모텔 모텔호텔숙박 서비스 기타,현실형,
65,치과에서 일하실분 초보가능 간호조무사간호사,사회형,
66,영도 동삼동 목금 홀써빙 모집 백채 김치찌개 요리서빙 기타,현실형,
67,때깔 영도점에서 주방보조 직원모집합니다 요리서빙 기타,현실형,
68,소독회사 같이 키워갈 하방맨2기를 모집합니다일 12만이상영업 자신 있으신 분 환영 서비스 기타 청소미화방역,진취형,
69,당일지급하나방역 본사에서 영업에 자신 있어신 분을 모집합니다 서비스 기타 청소미화방역,진취형,
70,1일20만이상의전도우미 모집 망설이는 초보경력단절퇴직자 환영 요리서빙 기타 상조웨딩연회 서비스 기타,현실형,
71,경력없어도간단한 서빙만 해주시면 됩니다일비15만원가능 서빙포장 상조웨딩연회 서비스 기타,현실형,
72,남녀 경력무관 서빙세팅고객응대 일급15만이상 식사제공 중장년가능 미성년X 문화여가생활 기타 서빙포장 상조웨딩연회,현실형,
73,남녀 경력무관 서빙세팅고객응대 일급15만이상 식사제공 중장년가능 미성년X 문화여가생활 기타 서빙포장 상조웨딩연회,현실형,
74,센터오픈 상담원 콜센터 인바운드CS 아웃바운드TM 금융보험카드,진취형,
75,Tm 리서치설문조사아주쉬움맛집조사전화업무월금 주2일주3일도 가능 서비스 기타 사무기획관리홍보,진취형,
76,Tm스케줄러 모집 기본급인센티브 약속잡아주는 TM 누구나 정말쉬운업무 서비스 기타 아웃바운드TM 상담영업기타,진취형,
77,식자재 배송 기사님 채용합니다 축산청과농수산,현실형,
78,씨케이글로벌주수산물 가공 직원OK4대보험가입연차퇴직금단기알바 가능 생산제조조립인쇄 포장검사,진취형,
79,같이 할 하방맨2기 모집일 12만이상 당일지급 서비스 기타 청소미화방역,현실형,
80,부산진구 범내골 위치 한식뷔페 홀 아르바이트 구합니다 요리서빙 기타,현실형,
81,93시16시 재택가능교육비150만신입200만경력업적무관400만 인바운드CS 아웃바운드TM 금융보험카드,진취형,
82,교육비 200만오토콜 쉬운상담 센터평균 500만 경력보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
83,교육비 200만오토콜 쉬운상담 센터평균 500만 경력보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
84,12일 21일 앉아서 강의 듣는 알바하실분 모집합니다 인바운드CS 금융보험카드 사무기획관리홍보,진취형,
85,야간에 광고물 부착하실 기사분 구해요 차량 소유자이신분 연락 주세용 서비스 기타,현실형,
86,바리스타220만원인센티브 베이커리근무급여협의 주방주방보조설거지 요리서빙 기타 유통판매 기타,진취형,
87,청송골갈비 서빙 모집 시급 12000원 금토일 주말 알바 요리서빙 기타 서빙포장,현실형,
88,호텔 구내식당 조리사세척 직원 모집 주방주방보조설거지 주방장조리사,현실형,
89,2024년 추석 명절 단기 스태프 모집 백화점아울렛쇼핑몰 대형마트유통점 유통판매 기타,진취형,
90,주차발렛파킹 일을 성실하게 하실 분을 정규직으로 모집합니다 주차관리주차도우미,진취형,
91,초보가능 신입 200만원 보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
92,소독회사 같이 키워갈 하방맨3기를 모집합니다일 12만이상 당일지급선착순5명 서비스 기타 청소미화방역,현실형,
93,신입200만원교육비150만원면접선물재택가능 인바운드CS 아웃바운드TM 금융보험카드,진취형,
94,롯데백화점 광복점모시모시에서 주방 초밥부 및 간데기정직원경력자구합니다 백화점아울렛쇼핑몰 주방장조리사 주방주방보조설거지,현실형,
95,주방 겸 홀 직원 구함 멀티근무 알바가능 요리서빙 기타,현실형,
96,103시파트재택가능 교육비150신입200만경력400만보장면접선물 인바운드CS 아웃바운드TM 금융보험카드,진취형,
97,교육비 200만오토콜 쉬운상담 센터평균 500만 경력보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
98,1기 OPEN 오전오후파트상담원 인바운드CS 아웃바운드TM 금융보험카드,진취형,
99,환자를 케어하며 즐겁게 병원생활을 하실 분을 모십니다 요양간병돌봄,현실형,
100,청룡민물장어주식회사 정직원 모집 요리서빙 기타 서빙포장 주방주방보조설거지,현실형,
101,소독회사 같이 키워갈 하방맨3기를 모집합니다일 12만이상 당일지급 서비스 기타 청소미화방역,현실형,
102,경력 1도 없어도 가능 유통판매 기타 사무기획관리홍보 인바운드CS,진취형,
103,세탁 직원 모집합니다 청소미화방역 생산제조조립인쇄 건설토목 기타,현실형,
104,하나방역 본사에서 영업에 자신 있어신 분을 모집합니다당일지급 서비스 기타 청소미화방역,진취형,
105,호텔 구내식당 조리사세척 직원 모집 주방주방보조설거지 주방장조리사,현실형,
106,단기 송도 메리어트호텔에서 발렛파킹 남여 직원 채용합니다 주차관리주차도우미,진취형,
107,급센텀마트 일요일 카운터 구합니다 유통판매 기타,진취형,
108,통영해물밥상한식당 주방 직원모집 정직원 요리서빙 기타 주방주방보조설거지,현실형,
109,교육비 200만오토콜 쉬운상담 센터평균 500만 경력보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
110,같이 할 하방맨2기 모집일 12만이상 수당지급 서비스 기타 청소미화방역,현실형,
111,1일20만이상의전도우미 모집 망설이는 초보경력단절퇴직자 환영 요리서빙 기타 상조웨딩연회 서비스 기타,현실형,
112,1일20만이상의전도우미 모집 망설이는 초보경력단절퇴직자 환영 요리서빙 기타 상조웨딩연회 서비스 기타,현실형,
113,롤링파스타 명지점 평일 주방 보조 알바 구해요 요리서빙 기타 서빙포장 주방주방보조설거지,현실형,
114,경력 1도 없어도 가능 유통판매 기타 사무기획관리홍보 인바운드CS,진취형,
115,경력 1도 없어도 가능 유통판매 기타 사무기획관리홍보 인바운드CS,진취형,
116,경력없어도간단한 서빙만 해주시면 됩니다일비15만원가능 서빙포장 상조웨딩연회 서비스 기타,현실형,
117,경력없어도간단한 서빙만 해주시면 됩니다일비15만원가능 서빙포장 상조웨딩연회 서비스 기타,현실형,
118,청소 직원 모집 합니다 호텔모텔 모텔호텔숙박 청소미화방역 서비스 기타,현실형,
119,장안나물밥 홀서빙 주방직원 모집합니다 서빙포장 주방장조리사 주방주방보조설거지,현실형,
120,호텔 구내식당 조리사세척 직원 모집 주방주방보조설거지 주방장조리사,현실형,
121,남녀 경력무관 서빙세팅고객응대 일급15만이상 식사제공 중장년가능 미성년X 문화여가생활 기타 서빙포장 상조웨딩연회,현실형,
122,남녀 경력무관 서빙세팅고객응대 일급15만이상 식사제공 중장년가능 미성년X 문화여가생활 기타 서빙포장 상조웨딩연회,현실형,
123,웨스틴조선부산 호텔 세탁실 직원 모집 주삼익 모텔호텔숙박 서비스 기타,현실형,
124,오픈1기 교육비150만신입200만경력400만 인바운드CS 아웃바운드TM 금융보험카드,진취형,
125,93시16시 재택가능교육비150만신입200만경력업적무관400만 인바운드CS 아웃바운드TM 금융보험카드,진취형,
126,컨테이너 수리 신입사원 모집 합니다 건설현장,현실형,
127,숲사랑어린이집 어린이집 조리사 구인 공고 어린이집 조리사,현실형,
128,아쿠아셀 환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행,현실형,
129,웰니스병원 기타보건의료종사원 구인 공고 기타 보건의료 종사원 의료기구 및 병실 베드 관리 환자 이동 및 보조,진취형,
130,수요양병원 조리사 구인 공고 조리사,현실형,
131,효성프라요양병원 간호조무사 구인 공고 간호조무사,현실형,
132,진흥산업 변압기 용접원 구인 공고 변압기 내 외부 용접,현실형,
133,수변최고 해운대점 조리사 구인 공고 조리사 유관경력 우대,현실형,
134,수변최고 미포점 조리사 구인 공고 조리사 유관경력 우대,현실형,
135,수변최고 롯데점 조리사 구인 공고 조리사 유관경력 우대,현실형,
136,금수복국 롯데점 조리사 구인 공고 조리사 유관경력 우대,현실형,
137,수변최고돼지국밥 송정점 조리사 구인 공고 조리사 유관경력 우대,현실형,
138,택시운전원,현실형,
139,한국보상원 사무원 구인 공고 사무원 손실 보상 및 협의 사무 보조,관습형,
140,쁘띠쁘아유치원 유치원 조리사 구인 공고 어린이집 조리사,현실형,
141,드림나라병원 기타 보건 의료 종사원 공고 기타 보건 의료 종사원 환자 이송 및 관리 병실 관리 등,진취형,
142,도시농사꾼 농업회사법인 버섯 재배 및 물류관리 구인 공고 용호별빛공원 내 버섯재배 및 물류관리,진취형,
143,에프지인더스트리 선박설계사 구인 공고 선박설계 10년 이상 경력필수 영어회화 가능자비즈니스 회화 능통자 대우조선한진중공업 출신 우대,현실형,
144,제과제빵 음료제조사 조리사 근면 성실하고 오래 근무 가능한 사람 우대,현실형,
145,수변최고돼지국밥 조리사 구인 공고 조리사 유관경력 우대,현실형,
146,수변최고돼지국밥 센텀점 조리사 구인 공고 조리사 유관경력 우대,현실형,
147,금수복국 온천점 조리사 구인 공고 조리사 유관경력 우대,현실형,
148,금수복국 센텀벡스코점 조리사 구인 공고 조리사 유관경력 우대,현실형,
149,금수복국 동래점 조리사 구인 공고 조리사 유관경력 우대,현실형,
150,우진피엠이 CNCMCT사상연마 기술직 구인 공고,현실형,
151,해뜨는어린이집 어린이집 조리사 구인 공고 어린이집 조리사,현실형,
152,꿈드림키즈 보육보조교사 구인 공고 어린이집 보육보조 교사,사회형,
153,시설특수관리 빌딩전기관리 호텔 시설물 유지보수 등 경력자 우대 중식제공,현실형,
154,동창주조창 주조원 주조원 조형 조형중자 및 합형 생산 작업,현실형,
155,하운드호텔 부산역점 호텔조리사 구인 공고 호텔 조리사 유관경력 또는 한식양식 자격증 소지자 우대 조식 직원식 런치 조리,현실형,
156,재가요양보호사 채용 방문 복지서비스 제공업 요양보호사필수,현실형,
157,재가요양보호사 모집 개인 간병 및 유사 서비스업 요양보호사필수,현실형,
158,괴정동재가요양보호사 모집 개인 간병 및 유사 서비스업 요양보호사필수,현실형,
159,SK텔레콤 안락사옥 미화직원 채용 비주거용 부동산 관리업 관계없음,진취형,
160,재가요양보호사 모집남부민동 방문 복지서비스 제공업 요양보호사필수,현실형,
161,브니엘예술고등학교 교육공무직원조리원 채용공고 일반 고등학교 관계없음,예술형,
162,채용대행 명륜동 명륜자이 아파트 미화원 경비 및 경호 서비스업 관계없음,현실형,
163,재가요양보호사 구인 사회복지 서비스업 요양보호사필수,현실형,
164,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
165,재가요양보호사 채용합니다 방문 복지서비스 제공업 요양보호사필수,현실형,
166,재가요양보호사 채용 방문 복지서비스 제공업 요양보호사1급필수,현실형,
167,용호동 아파트 보안대원 채용 사업시설 유지관리 서비스업 관계없음,진취형,
168,어르신 다정하게 보살펴 주실 요양보호사 구합니다 사회복지 서비스업 요양보호사필수 기타 치매교육이수증,현실형,
169,재가요양보호사 구인 긴급 방문 복지서비스 제공업 요양보호사필수,현실형,
170,민락동오전 재가요양보호사 모집 방문 복지서비스 제공업 요양보호사2급필수,현실형,
171,재가 요양보호사 모집정관 노인 요양 복지시설 운영업 요양보호사필수,진취형,
172,재가 요양보호사 모집 그 외 기타 보건업 요양보호사필수,현실형,
173,요양보호사 모집 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
174,재가요양보호사 모집 보건업 요양보호사필수 기타 치매교육이수증 필수,현실형,
175,재가요양보호사 채용 주5일 9시12시 방문 복지서비스 제공업 요양보호사필수,현실형,
176,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
177,자동차부품 생산직 사원 채용 기타 기계 및 장비 제조업 관계없음,현실형,
178,재가요양보호사 모집정관 노인 요양 복지시설 운영업 요양보호사필수,진취형,
179,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
180,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수,현실형,
181,용호동요양보호사님 방문 복지서비스 제공업 요양보호사필수,현실형,
182,어린이집 조리사 선생님 모십니다 보육시설 운영업 한식조리기능사필수,진취형,
183,개금동동 요양보호사 노인 요양 복지시설 운영업 관계없음,진취형,
184,재가요양보호사 모집 보건 및 복지 행정 요양보호사필수,현실형,
185,장애인활동지원사 모집 방문 복지서비스 제공업 관계없음,현실형,
186,재가요양보호사 모집일광 방문 복지서비스 제공업 요양보호사필수,현실형,
187,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
188,재가요양보호사 구인 방문 복지서비스 제공업 요양보호사필수,현실형,
189,3등급 할아버지주6일재가요양보호사 채용 노인 요양 복지시설 운영업 요양보호사필수,진취형,
190,조양아파트 미화원 모집 주거용 부동산 관리업 관계없음,진취형,
191,재가요양보호사 모집기장 방문 복지서비스 제공업 요양보호사필수,현실형,
192,족발 음식점에서 고기 써는 분 채용합니다 한식 음식점업 관계없음,현실형,
193,족발 음식점 홀서빙 구인 한식 음식점업 관계없음,현실형,
194,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
195,아미동 3등급 할아버지 재가요양보호사 구인 노인 요양 복지시설 운영업 요양보호사필수,진취형,
196,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
197,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
198,W스퀘어 상가 미화원 주간야간 채용 경비 및 경호 서비스업 관계없음,현실형,
199,요양보호사 모집 방문 복지서비스 제공업 요양보호사1급필수,현실형,
200,남구 감만동 요양보호사님을 모집합니다 노인 양로 복지시설 운영업 요양보호사1급필수,진취형,
201,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수,현실형,
202,재가요양보호사 모십니다 노인 요양 복지시설 운영업 관계없음,진취형,
203,요양원 조리원 모집합니다 노인 요양 복지시설 운영업 한식조리기능사우대,진취형,
204,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
205,재가요양보호사 모집 개인 간병 및 유사 서비스업 요양보호사필수,현실형,
206,재가요양보호사 구인 방문 복지서비스 제공업 요양보호사1급필수,현실형,
207,장애인활동지원사 모집입니다 방문 복지서비스 제공업 관계없음,현실형,
208,재가요양보호사 모집기장 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
209,사하구 다대동 재가 요양보호사 구인 강서새일센터 채용대행 방문 복지서비스 제공업 요양보호사필수,현실형,
210,재가요양보호사 모집 사회복지 서비스업 요양보호사필수,현실형,
211,영도요양원 조리원 주방보조 업무 단시간 근무3시간 노인 요양 복지시설 운영업 관계없음,진취형,
212,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
213,긴급돌봄 방문요양보호사 모집송정 방문 복지서비스 제공업 요양보호사필수,현실형,
214,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사2급필수,현실형,
215,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
216,빌딩미화원 모집 한화생명 사업시설 유지관리 서비스업 관계없음,진취형,
217,중구청 구내식당 조리 보조하실 분 모집합니다 출장 음식 서비스업 관계없음,현실형,
218,요양보호사급구 그 외 기타 비거주 복지 서비스업 요양보호사1급필수,현실형,
219,재가요양보호사 모집 사회복지 서비스업 요양보호사필수,현실형,
220,재가요양보호사 채용 방문 복지서비스 제공업 요양보호사필수,현실형,
221,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
222,개금동 요양보호사 노인 요양 복지시설 운영업 요양보호사필수,진취형,
223,더샵명지퍼스트월드 2단지 미화원 채용 경비 및 경호 서비스업 관계없음,현실형,
224,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
225,재가요양보호사 모집 기타 전문 서비스업 요양보호사필수,현실형,
226,재가요양보호사 모집 그 외 기타 거주 복지시설 운영업 요양보호사필수,진취형,
227,자반공등어 가공업체 작업장근무자 구인 신선 냉동 및 기타 수산물 도매업 관계없음,현실형,
228,빌딩 미화원 모집 건축물 일반 청소업 관계없음,현실형,
229,경비원 모집 건물 및 토목 엔지니어링 서비스업 관계없음,현실형,
230,청소원 모집격일제 기타 개인 서비스업 관계없음,현실형,
231,재가요양보호사 모집 개인 간병 및 유사 서비스업 요양보호사필수,현실형,
232,요양병원 조리장 모집 식품 위생용 종이 상자 및 용기 제조업 관계없음,현실형,
233,진구 당감동 요양보호사님을 모집합니다 그 외 기타 보건업 요양보호사1급필수,현실형,
234,주에이스플러스 서부주공아파트 미화원 모집기장 경비 및 경호 서비스업 관계없음,현실형,
235,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
236,재가요양보호사 채용 방문 복지서비스 제공업 관계없음,현실형,
237,주에이스플러스 전원그린B아파트 경비원 모집 경비 및 경호 서비스업 관계없음,현실형,
238,재가요양보호사 모십니다 방문 복지서비스 제공업 요양보호사필수,현실형,
239,재가요양보호사 모집 사회복지 서비스업 요양보호사필수,현실형,
240,재가요양보호사 모집 치매교육이수 필수 사회복지 서비스업 요양보호사필수,현실형,
241,가야동 요양보호사 사회복지 상담서비스 제공업 요양보호사필수,현실형,
242,와이즈파크 미화원 모십니다 건축물 일반 청소업 관계없음,현실형,
243,재가요양보호사 채용 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
244,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
245,재가요양보호사 채용 노인 요양 복지시설 운영업 요양보호사필수,진취형,
246,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
247,재가요양보호사모집 그 외 기타 비거주 복지 서비스업 요양보호사1급필수,현실형,
248,미화원 사업시설 유지관리 서비스업 관계없음,진취형,
249,재가요양보호사 모집 보건 및 복지 행정 요양보호사필수,현실형,
250,승강기 용접 승강기 조립 모집장안 승강기 제조업 관계없음,현실형,
251,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
252,5등급여자어르신오전재가요양보호사 채용 노인 요양 복지시설 운영업 요양보호사필수,진취형,
253,주3일오전4등급여자어르신 요양보호사 채용 방문 복지서비스 제공업 요양보호사1급필수,현실형,
254,장림동 장애인활동지원사 구인 사회복지 상담서비스 제공업 관계없음,현실형,
255,괴정동 대티로31 요양보호사 구인 노인 요양 복지시설 운영업 요양보호사필수,진취형,
256,효나눔 재가복지센터 요양보호사 모집 기장 방문 복지서비스 제공업 요양보호사필수,현실형,
257,재가요양보호사 모십니다 사회복지 상담서비스 제공업 요양보호사필수,현실형,
258,수영구 광안동 요양보호사님을 모집합니다 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
259,치매이수 재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수,현실형,
260,요양보호사 선생님을 모십니다 방문 복지서비스 제공업 요양보호사필수,현실형,
261,정화조 청소보조 업무 모집 하수 폐수 및 분뇨 처리업 관계없음,현실형,
262,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사1급필수,현실형,
263,재가요양보호사 구인 방문 복지서비스 제공업 요양보호사1급필수,현실형,
264,3등급 재가요양보호사 모집 보건 및 복지 행정 요양보호사필수,현실형,
265,재가요양보호사 5등급 주5일 오전 912시 할머니 그 외 기타 보건업 요양보호사필수,현실형,
266,다대푸른아파트 경비원 구인 인력 공급업 관계없음,현실형,
267,세인요양병원 조리원 모집 공중 보건 의료업 관계없음,현실형,
268,남부민동 오전 재가 요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
269,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
270,재가요양보호사 모집 그 외 기타 비거주 복지 서비스업 요양보호사필수,현실형,
271,요양보호사 방문 복지서비스 제공업 관계없음,현실형,
272,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
273,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
274,영도요양원 요양보호사 모집 요양보호사 자격증 필수 노인 요양 복지시설 운영업 요양보호사필수,진취형,
275,4등급 재가요양보호사 모집 그 외 기타 비거주 복지 서비스업 요양보호사필수,현실형,
276,5등급 치매어르신 돌봄 방문 복지서비스 제공업 요양보호사필수,현실형,
277,애림요양원 위생원 모집 노인 요양 복지시설 운영업 관계없음,진취형,
278,장애인활동보조인 모집 그 외 기타 비거주 복지 서비스업 관계없음,현실형,
279,연제구 연산동 요양보호사님을 모집합니다 노인 요양 복지시설 운영업 요양보호사1급필수,진취형,
280,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
281,재가요양보호사 모집 사회복지 상담서비스 제공업 요양보호사필수,현실형,
282,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
283,1등급 재가요양보호사님을 모집합니다 노인 요양 복지시설 운영업 요양보호사필수,진취형,
284,요양병원 케어 매니저 모집 요양 병원 관계없음,현실형,
285,한국과학영재학교 급식 보조배식도우미 채용합니다 교육 행정 관계없음,현실형,
286,재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
287,사내식당 주방 담당자 채용 수산동물 훈제 조리 및 유사 조제식품 제조업 관계없음,현실형,
288,재가요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
289,주5일 오전 재가요양보호사 구인 노인 요양 복지시설 운영업 요양보호사필수,진취형,
290,4등급 여어르신 케어 재가 요양보호사 채용 그 외 기타 보건업 요양보호사필수,현실형,
291,4등급여자어르신 주5일재가요양보호사 채용 그 외 기타 보건업 요양보호사필수,현실형,
292,재가 요양사 모집 개인 간병 및 유사 서비스업 요양보호사1급필수,현실형,
293,장애인활동보조인 모집 그 외 기타 비거주 복지 서비스업 관계없음,현실형,
294,범천동 재가요양보호사 모집 방문 복지서비스 제공업 요양보호사필수,현실형,
295,해운대 대동타운 미화원 채용 경비 및 경호 서비스업 관계없음,현실형,
296,요양보호사 모집 노인 요양 복지시설 운영업 요양보호사필수,진취형,
