id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,work_hours,details,email,certification,preference_id,region_id
11,부산경영자총협회,아쿠아셀(주),아쿠아셀,,월급 200만원 이상 (협의),2024-08-09,9999-01-01,부산 강서구,,, ,환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000352&page=1,문의 051)647-5186 ,월~금 08:00-17:00 휴게시간 12:00-13:00,,parkjmdes@naver.com,,,7
12,부산경영자총협회,웰니스병원,웰니스병원,기타보건의료종사원 구인 공고,최저시급,2024-08-09,9999-01-01,부산 연제구,,, ,"기타 보건의료 종사원 의료기구 및 병실 베드 관리, 환자 이동 및 보조 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000351&page=1,문의 051)647-5186 ,주 6일 40시간 (스케줄 협의),,uwellness@daum.net,,,11
13,부산경영자총협회,수요양병원,수요양병원,조리사 구인 공고,월금 260만원 (협의),2024-08-08,9999-01-01,부산 부산진구,,, ,조리사,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000350&page=1,문의 051)647-5186 ,주 5일 06:00-18:00 (협의),,soo11915@naver.com,,,9
14,부산경영자총협회,효성프라요양병원,효성프라요양병원,간호조무사 구인 공고,최저임금 이상 (협의),2024-08-06,9999-01-01,부산 사상구,,, ,간호조무사,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000349&page=1,문의 051)647-5186 ,월~일 3교대 근무,,ppaarrkk77@daum.net,,,4
15,부산경영자총협회,진흥산업,진흥산업,변압기 용접원 구인 공고,월 330만원-370만 (협의),2024-08-06,9999-01-01,부산 강서구,,, , 변압기 내 외부 용접 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000348&page=1,문의 051)647-5186 ,월~금 07:30-18:30 토 (격주) 07:30-16:00,,jhjh4693@naver.com,,,7
16,부산경영자총협회,수변최고 해운대점,수변최고 해운대점,조리사 구인 공고,월급 206만원 (협의),2024-08-02,9999-01-01,부산 해운대구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000347&page=1,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,12
17,부산경영자총협회,수변최고 미포점,수변최고 미포점,조리사 구인 공고,월급 206만원 (협의),2024-08-02,9999-01-01,부산 부산진구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000346&page=1,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,9
18,부산경영자총협회,수변최고 롯데점,수변최고 롯데점,조리사 구인 공고,월급 206만원 (협의),2024-08-02,9999-01-01,부산 부산진구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000345&page=1,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,9
19,부산경영자총협회,금수복국 롯데점,금수복국 롯데점,조리사 구인 공고,월급 206만원 (협의),2024-08-02,9999-01-01,부산 부산진구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000344&page=2,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,9
20,부산경영자총협회,수변최고돼지국밥 송정점,수변최고돼지국밥 송정점,조리사 구인 공고,월급 206만원 (협의),2024-08-02,9999-01-01,부산 해운대구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000343&page=2,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,12
21,부산경영자총협회,(주)가성,,,월급 150만원 이 (협의),2024-08-02,9999-01-01,부산 연제구,,, , 택시운전원 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000342&page=2,문의 051)647-5186 ,일 5시간 이상 (협의),,g60681@naver.com,,,11
22,부산경영자총협회,한국보상원,한국보상원,사무원 구인 공고,최저시급 이상 (협의),2024-08-02,9999-01-01,부산 해운대구,,, ," 사무원 (손실 보상 및 협의, 사무 보조) ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000341&page=2,문의 051)647-5186 ,월~금 09시 - 18시,,bosangwon@naver.com,,,12
23,부산경영자총협회,쁘띠쁘아유치원,쁘띠쁘아유치원,유치원 조리사 구인 공고,월급 154만원,2024-08-02,9999-01-01,부산 동래구,,, ,어린이집 조리사 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000340&page=2,문의 051)647-0457,월~금 08:30 - 15:00 (휴게시간 12:00 - 12:30),,bsef0428@naver.com,,,3
24,부산경영자총협회,드림나라병원,드림나라병원,기타 보건 의료 종사원 공고,월급 206만원,2024-08-02,9999-01-01,부산 연제구,,, ,"기타 보건 의료 종사원 환자 이송 및 관리, 병실 관리 등 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000339&page=2,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,yeonjenara@daum.net,,,11
25,부산경영자총협회,도시농사꾼 농업회사법인,도시농사꾼 농업회사법인,버섯 재배 및 물류관리 구인 공고,최저시급 이상 (협의),2024-08-02,9999-01-01,부산 남구,,, , 용호별빛공원 내 버섯재배 및 물류관리 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000338&page=2,문의 051)647-5186 ,월~금 08:30 - 17:30,,account@cubefarm.kr,,,8
26,부산경영자총협회,에프지인더스트리,에프지인더스트리,선박설계사 구인 공고,월급 300만원 이상 (협의),2024-08-02,9999-01-01,부산 해운대구,,, ," 선박설계 (10년 이상 경력필수) 영어회화 가능자(비즈니스 회화 능통자), 대우조선/한진중공업 출신 우대 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000337&page=2,문의 051)647-5186 ,월~금 09:00 - 18:00,,contact@fgindustry.com,,,12
27,부산경영자총협회,(주)코콕,,,최저시급 이상 (협의),2024-07-31,9999-01-01,부산 수영대구,,, , 제과제빵 / 음료제조사 / 조리사 근면 성실하고 오래 근무 가능한 사람 우대 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000336&page=2,문의 051)888-6915 ,"주 3일, 하루 5시간 이상 (협의)",,kyh3217@bepa.kr,,,1
28,부산경영자총협회,수변최고돼지국밥,수변최고돼지국밥,조리사 구인 공고,월급 206만원 (협의),2024-07-31,9999-01-01,부산 수영구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000335&page=2,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,5
29,부산경영자총협회,수변최고돼지국밥 센텀점,수변최고돼지국밥 센텀점,조리사 구인 공고,월급 206만원 (협의),2024-07-31,9999-01-01,부산 해운대구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000334&page=3,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,12
30,부산경영자총협회,금수복국 온천점,금수복국 온천점,조리사 구인 공고,월급 206만원 (협의),2024-07-31,9999-01-01,부산 동래구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000333&page=3,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,3
31,부산경영자총협회,금수복국 센텀벡스코점,금수복국 센텀벡스코점,조리사 구인 공고,월급 206만원 (협의),2024-07-31,9999-01-01,부산 해운대구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000332&page=3,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,12
32,부산경영자총협회,금수복국 동래점,금수복국 동래점,조리사 구인 공고,월급 206만원 (협의),2024-07-31,9999-01-01,부산 동래구,,, , 조리사 (유관경력 우대) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000331&page=3,문의 051)647-5186 ,주 5일 8시간 (스케줄근무),,ksbk1970@naver.com,,,3
33,부산경영자총협회,우진피엠이,우진피엠이,"CNC,MCT,사상,연마 기술직 구인 공고",,2024-07-31,9999-01-01,,,, ,,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000330&page=3,문의 051)647-5186 ,,,,,,1
34,부산경영자총협회,[채용마감] 해뜨는어린이집 - 어린이집 조리사 구인 공고 (남구),해뜨는어린이집,어린이집 조리사 구인 공고,월급 100만원 (협의),2024-07-31,9999-01-01,부산 남구,,, ,어린이집 조리사 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000329&page=3,문의 051)647-0457,월~금 09:00 - 13:00,,bsef0428@naver.com,,,8
35,부산경영자총협회,[채용마감] 꿈드림키즈 - 보육보조교사 구인 공고 (연제구),꿈드림키즈,보육보조교사 구인 공고,월급 250만원 (협의),2024-07-31,9999-01-01,부산 연제구,,, ,어린이집 보육보조 교사 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000328&page=3,문의 051)647-5186,월~금 09:00 - 18:00,,-,,,11
36,부산경영자총협회,(주)지엠네트웍스,,,월급 350만원 (협의),2024-07-31,9999-01-01,부산 남구,,, ,"시설특수관리 (빌딩전기관리, 호텔 시설물 유지보수 등) 경력자 우대, 중식제공 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000327&page=3,문의 051)647-5186,월~금 09:00 - 18:00,,yalee@gmnetworks.co.kr,,,8
37,부산경영자총협회,동창주조창,동창주조창,주조원,"시급 13,000원 이상 (협의)",2024-07-31,9999-01-01,부산 사상구,,, ,"주조원 (조형) 조형,중자 및 합형 생산 작업 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000326&page=3,문의 051)647-5186,월~금 08:00-17:00 (하절기) 07:00-15:00,,changmet@hanmail.net,,,4
38,부산경영자총협회,하운드호텔 부산역점,하운드호텔 부산역점,호텔조리사 구인 공고,최저시급 이상 (협의),2024-07-31,9999-01-01,부산 동구,,, ,호텔 조리사 (유관경력 또는 한식/양식 자격증 소지자 우대) 조식 & 직원식 & 런치 조리 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000325&page=3,문의 051)647-5186,월~일 06:00-15:00 (스케줄근무),,cj7442@naver.com,,,14
39,워크넷,효나눔노인복지센터,기장(남창 인근)-3등급 할아버지 재가요양보호사 모집,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,"부산광역시 기장군 장안읍 구운달길 6, .",관계없음,학력무관,주 5일 근무 (주 소정근로시간: 15시간) ,방문 복지서비스 제공업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJGE002408210006&rtnTarget=list1,052-204-1359,,"<td> ★ 기장(남창 인근)-3등급 할아버지 재가요양보호사 모집 ★<br/><br/>▶직무내용: 3등급 할아버지 일상생활지원<br/>▶근무장소: 부산 기장군 장안읍 구운달길 (남창 고려요양병원에서 차량으로 10분 이내 거리)<br/>▶근무시간: 월~토 9:30~12:30 (일 3시간)<br/>▶급여조건: 시급 9,860원 (교통비 월 5만원 별도지급)<br/>▶기타: 요양보호사 필수<br/><br/>※문의 및 접수: 울주군일자리안내지원센터 ☎052-204-1359 </td>",,요양보호사(필수),,2
40,워크넷,주식회사에스코아,] 아파트 경비원 모집,,월급 217만원 이상,2024-08-21,2024-10-20,"부산광역시 해운대구 우동1로 9-28, .. (우동, 신동아아파트)",경력 (최소 1년 0 개월 이상) 필수,학력무관,주 4일 근무 (주 소정근로시간: 40시간) ,인력 공급업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002408210010&rtnTarget=list2,051-310-5192,,"<td> - 해운대 우동 신동아 아파트 경비원<br/>- 근무시간: 06:00~06:00(격일)<br/>- 임금: 2,174,380원<br/><br/>* 담당자와 통화 후 면접시간, 안내 받으시길 바랍니다.<br/><br/>* 담당자: 사상구청 일자리센터 051-310-5192 </td>",,관계없음 ,,12
41,워크넷,주식회사에스코아,아파트 경비원 모집,,월급 210만원 이상,2024-08-21,9999-01-01,"부산광역시 사하구 다송로 59, . (다대동, 다대4지구도개공영구임대아파트)",관계없음,학력무관,주 4일 근무 (주 소정근로시간: 40시간) ,인력 공급업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002408210008&rtnTarget=list3,051-310-5195,,"<td> ======================<br/>** 사상구청 채용대행 **<br/>======================<br/><br/>*다대4지구 도개공아파트 <br/>- 아파트 경비 업무<br/>- 경비신임교육 이수 필수<br/>- 근무시간 (3교대) : 주간 08:00~18:00, 당직 06:00~익일 06:00, 비번 (순환근무)<br/>- 월 2,101,670원<br/><br/>* 담당자와 통화 후 면접시간, 안내 받으시길 바랍니다.<br/>* 담당자: 사상구청 일자리센터 051-310-5195 </td>",,관계없음 ,,10
42,워크넷,(주)듀델코리아,센텀한보미도 아파트 경비원 채용,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,"부산광역시 해운대구 재반로64번길 74-1, , (재송동, 센텀한보미도)",관계없음,학력무관,주 4일 근무 ,경비 및 경호 서비스업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002408210006&rtnTarget=list5,051-888-6914,,"<td> [재송동] 센텀한보미도 아파트 경비원 채용<br/><br/>- 아파트 경비원 1명 채용<br/>- 근무시간 : 24시간 격일제 근무 06:30~익일 06:30 (휴게시간 주간 3.5시간, 야간 7.5시간)<br/>- 급여 : 월 1,992,350원<br/>- 지원방법 : 이력서 팩스 제출 (팩스번호 051-888-6919)<br/>- 지원문의 : 051-888-6914<br/><br/>* 이력서 상단 ""센텀한보미도 경비지원"" 반드시 기재 후 전송 <br/>* 사전 약속없이 근무지 (아파트)로 방문하는 경우가 없도록 해주시기 바랍니다. </td>",,관계없음 ,,12
43,워크넷,(주)듀델코리아,롯데캐슬1단지 아파트 미화원 채용,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,"부산광역시 금정구 금강로 502, , (구서동, 롯데캐슬골드1단지)",관계없음,학력무관,주 6일 근무 ,경비 및 경호 서비스업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002408210005&rtnTarget=list6,051-888-6914,,"<td> [구서동] 롯데캐슬1단지 아파트 미화원 채용<br/><br/>- 아파트 미화원 2명 채용<br/>- 근무시간 : 주6일 근무, 평일 9:00~16:00 (휴게 12:00~13:00), 토요일 9:00~12:00<br/>- 급여 : 월 1,696,200원<br/>- 지원방법 : 이력서 팩스 제출 (팩스번호 051-888-6919)<br/>- 지원문의 : 051-888-6914<br/><br/>* 이력서 상단 ""구서동 롯데캐슬 1단지 미화원 지원"" 반드시 기재 후 전송 <br/>* 사전 약속없이 근무지 (아파트)로 방문하는 경우가 없도록 해주시기 바랍니다. </td>",,관계없음 ,,13
44,워크넷,한빛재가복지센터,재가 요양보호사 모집,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,부산광역시 부산진구 당감서로 171 (당감동),관계없음,학력무관,주 5일 근무 ,노인 요양 복지시설 운영업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0052408210004&rtnTarget=list7,,,"<td> * 3등급, 80대 여자어르신<br/>* 식사도움, 가사지원, 등 일반적인 요양보호사 업무<br/>* 근무시간 : 09:00~12:00 (주5일)<br/>* 시급 : 12,400원(수당 포함)-제세수당 별도 문의<br/><br/>*동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)등에 차이가 있을 수 있습니다. </td>",,요양보호사(필수),,9
45,워크넷,한빛재가복지센터,재가 요양보호사 모집,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,"부산광역시 남구 신선로337번길 63 (용당동, 미원빌라)",관계없음,학력무관,주 6일 근무 ,노인 요양 복지시설 운영업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0052408210003&rtnTarget=list8,,,"<td> * 3등급, 80대 여자어르신<br/>* 식사도움, 가사지원, 병원동행 등 일반적인 요양보호사 업무<br/>* 근무시간 : 14:00~17:00(주6일)<br/>* 시급 : 12,400원(수당 포함)-제세수당 별도 문의<br/><br/>*동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)등에 차이가 있을 수 있습니다. </td>",,요양보호사(필수),,8
46,워크넷,하람재가노인복지센터,재가요양보호사 채용,,"시급 9,860원 이상",2024-08-21,9999-01-01,"부산광역시 금정구 공단동로41번길 47, . (금사동, 금탑맨션)",관계없음,학력무관,주 6일 근무 (주 소정근로시간: 18시간) ,방문 복지서비스 제공업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002408210004&rtnTarget=list9,051-888-6911,,"<td> - 4등급 78세 할머니 (부부거주, 투석환자)<br/>- 일상생활 지원 및 신체, 정서지원, 가사지원등, 월,수,금요일 병원투석 동행도움<br/>- 15:00~18:00(주6일근무), 월,수,금(15:00~18:00 근무 필수), 화목토는 1시이후 시간대 조율가능. 토요일의 경우 오전도 가능<br/>- 시급 12,500원(주휴수당 1,972원, 연차수당 668원 포함)<br/>- 금정구 공단동로 41번길 47(금사동,금탑맨션)<br/>***지원희망하시는 분은 051-888-6911(부산시청일자리센터)로 연락주시기 바랍니다.<br/><br/>● 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음. </td>",,요양보호사(필수),,13
47,워크넷,으뜸재가복지센터,재가요양보호사 모집,,"시급 9,860원 ~ 9,860원",2024-08-21,9999-01-01,"부산광역시 사하구 하신번영로312번길 36, 2동 (하단동, 에덴대진연립)",관계없음,학력무관,주 6일 근무 (주 소정근로시간: 18시간) ,방문 복지서비스 제공업,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002408210004&rtnTarget=list10,051-220-5692,,"<td> *하단 지오피아아파트 근처 주택<br/>- 3등급 42년생, 할머니<br/>- 월-토 09:00-12:00 (3시간)<br/>- 신체활동지원, 가사지원, 식사지원, 병원도움 등<br/>- 제수당포함 12,500원<br/><br/>* * 부산 사하구청 일자리지원센터에서 서류전형 채용대행접수 진행중입니다.<br/> 실제 구직의사 있는 분들만 접수 부탁드립니다. (지원문의: 051-220-5692)<br/> </td>",,요양보호사(필수),,10
